Disease	Dimension 1	Dimension 2	Dimension 3	Dimension 4	Dimension 5	Dimension 6	Dimension 7	Dimension 8	Dimension 9	Dimension 10	Dimension 11	Dimension 12	Dimension 13	Dimension 14	Dimension 15	Dimension 16	Dimension 17	Dimension 18	Dimension 19	Dimension 20
Autonomic_System_Disorder	0.444769211	-1.732385108	1.434012084	0.449716813	-0.409399229	3.425314729	-0.594715751	0.8057701	-0.666518271	0.188909019	0.819192949	-0.692551826	-0.409890188	0.170205866	0.352745086	1.742950788	0.146196828	-0.683376713	-0.54480826	-0.001013744
Brain_Damage	1.45186442	-1.777233367	2.247016482	-0.049702038	0.828663438	-0.363554459	-1.132692578	1.472669735	0.076007263	0.175347416	-0.219703483	-0.454087819	0.732211928	-0.318150985	0.544046963	-1.252139674	-0.585946237	-0.043830011	-0.057962502	0.005572211
General_Paralysis	-0.664665333	-0.709985902	2.977850219	-1.825417036	0.141222142	0.95437909	0.540972104	0.125393367	-0.568213564	0.533309695	1.569340655	-0.014773815	1.6839003	-1.048314283	1.802834211	0.722123947	-1.622961483	-0.221909154	0.152179001	0.007598182
Non-Specific_Peritoneal_Disorder	-2.088155947	-0.670852186	1.332092498	-0.418708866	1.425682821	-0.24654059	2.350825081	0.636047729	-0.223852905	0.145694035	-1.893357464	0.07043842	-0.493862725	0.125803283	1.109394431	-0.573164931	-0.231259905	-0.543611636	0.091786942	0.000956645
Pancreatic_Disease	-1.798211224	-1.465928589	1.277915434	0.075405557	-0.778463157	-0.809648831	1.014366858	0.588562256	1.114122927	0.104344956	-2.337924202	0.164930933	-0.460674672	-0.752177154	0.575065462	1.211848916	0.485121321	-0.556611124	-1.128900167	-0.014008254
Rectal_Anal_Disorder	-1.316565351	1.023308185	-1.381559978	-0.921222972	0.275635142	1.135019755	0.114812077	-0.716620435	0.050376333	-0.733555665	-2.198584237	-0.463359589	1.446609925	1.184315316	1.321786433	-0.753025383	-1.558419855	0.078111103	0.241897882	-0.013594141
Salivary_Gland_Disease	0.217880269	-0.867310464	-0.885860766	-0.772298759	-1.59646291	-0.650901529	-0.846638842	0.38491707	0.420271457	0.00253089	0.815099721	-1.355976131	-2.02487877	0.479342519	-0.11710946	0.192129069	0.176370759	0.284786901	-0.657213484	0.000195109
Acquired_Hypothyroidism	0.444676125	0.198231778	-1.500333628	1.822221453	0.249457674	0.021335796	-0.196138835	1.551971433	0.672599409	0.595218038	0.206585122	0.212836971	-0.468876011	-0.63732137	-0.884738265	0.542494585	0.843102302	-0.257510636	0.265984871	0.002780334
Addisons_Disease	-0.7649097	-2.271211081	1.507245435	3.747088153	-0.304212936	-0.394625597	0.250870744	1.07812628	0.702807287	1.134159263	1.83955875	0.270508764	0.409001023	-0.485873717	-0.239112692	0.13892304	0.170039901	-0.324098709	-0.078312286	0.007238634
Adrenogenital_Disorder	-0.499081694	-0.25386197	1.224799114	4.091567779	0.713215341	-1.586454707	0.051182244	0.131555289	-1.300895384	-1.381471593	1.427499557	-0.953026042	-0.037995725	0.855163571	0.013010426	-0.00083453	0.796317718	0.183505612	0.051282671	0.000543768
