Disease Summary Name	General System	Applicable Gender	Monogenic Inheritance	ICD9 Codes	ICD9 Strings
Autonomic_System_Disorder	CNS	Both	FALSE	337.9|337.3|337|337.1|337.09|337.01|337.00|337.0	Idiopathic peripheral autonomic neuropathy|"Disorders of the autonomic nervous system"|"Carotid sinus syndrome"|"Autonomic nervous system disorder NEC"|"Other idiopathic peripheral autonomic neuropathy"|"Peripheral autonomic neuropathy in disorders classified elsewhere"|"Autonomic dysreflexia"|"Idiopathic peripheral autonomic neuropathy, unspecified"
Brain_Damage	CNS	Both	FALSE	348.4|348.5|310|348.1|348.2|310.2|310.1|310.0|348.89|310.9|310.8	Postconcussion syndrome|"Personality change due to conditions classified elsewhere"|"Specific nonpsychotic mental disorders due to brain damage"|"Frontal lobe syndrome"|"Other conditions of brain (ADDED)"|"Unspecified nonpsychotic mental disorder following organic brain damage"|"Other specified nonpsychotic mental disorders following organic brain damage"|"Anoxic brain damage"|"Compression of brain"|"Cerebral edema"|"Benign intracranial hypertension"
Cerebral_Cysts	CNS	Both	FALSE	348	Cerebral cysts
Cerebral_Lipidoses	CNS	Both	TRUE	330.1	Cerebral lipidoses
Disorder_of_the_Vestibular_System	CNS	Both	FALSE	386.2|386.0|386.1|386.9|386.10|386.11|386.12|386|386.19|386.04|386.03|386.02|386.01|386.00	Peripheral vertigo NOS|"Other and unspecified peripheral vertigo"|"Active Meniere's disease, vestibular"|"Other peripheral vertigo"|"Benign paroxysmal positional vertigo"|"Vertiginous syndromes and other disorders of vestibular system"|"Unspecified vertiginous syndromes and labyrinthine disorders"|"CENTRAL ORIGIN VERTIGO"|"Inactive Meniere's disease"|"Active Meniere's disease, cochlear"|"Vestibular neuronitis"|"Active Meniere's disease, cochleovestibular"|"Meniere's disease NOS"|"Meniere's disease"
Dopa-Responsive_Dystonia	CNS	Both	TRUE	333.6	Genetic torsion dystonia
Epilepsy_Related_Disorders	CNS	Both	FALSE	345.80|345.81|345.9|345.8|345.5|345.4|345.7|345.6|345.1|345.0|345.3|345.2|345.51|345.50|345.71|345.70|345|345.11|345.10|345.91|345.90|345.40|345.41|345.60|345.61|345.00|345.01	Epilepsy and recurrent seizures|"Partial epilepsy without impairment of consciousness with intractable epilepsy"|"Generalized nonconvulsive epilepsy, with intractable epilepsy"|"Epilepsia partialis continua"|"Epilepsia partialis continua, without mention of intractable epilepsy"|"Partial epilepsy without mention of impairment of consciousness"|"Other forms of epilepsy, without mention of intractable epilepsy"|"Partial epilepsy with impairment of consciousness"|"Generalized nonconvulsive epilepsy"|"Petit mal status, epileptic"|"Partial epilepsy without impairment of consciousness without intractable epilepsy"|"Generalized convulsive epilepsy, without mention of intractable epilepsy"|"Infantile spasms"|"Partial epilepsy with intractable epilepsy"|"Infantile spasms, without mention of intractable epilepsy"|"Infantile spasms, with intractable epilepsy"|"Partial epilepsy without intractable epilepsy"|"Grand mal status, epileptic"|"Generalized convulsive epilepsy"|"Epilepsy, unspecified, without mention of intractable epilepsy"|"Other forms of epilepsy and recurrent seizures"|"Epilepsia partialis continua, with intractable epilepsy"|"Epilepsy, unspecified"|"Other forms of epilepsy, with intractable epilepsy"|"Generalized nonconvulsive epilepsy, without mention of intractable epilepsy"|"Epilepsy, unspecified, with intractable epilepsy"|"Generalized convulsive epilepsy, with intractable epilepsy"
Extrapyramidal_Abnormal_Movement_Disorders	CNS	Both	FALSE	333.72|333.84|333.9|333.5|333.2|333.3|333.0|333.1|333.90|333.91|333.93|333.94|333.71|333.89|333.99|333.85|333.79|333.83|333.82|333.81	Acute dystonia due to drugs|"Blepharospasm"|"Essential and other specified forms of tremor"|"Other acquired torsion dystonia"|"Organic writers' cramp"|"Other and unspecified extrapyramidal diseases and abnormal movement disorders"|"Myoclonus"|"Spasmodic torticollis"|"Orofacial dyskinesia"|"Athetoid cerebral palsy"|"Other fragments of torsion dystonia"|"Subacute dyskinesia due to drugs"|"Benign shuddering attacks"|"Restless legs syndrome (RLS)"|"Other degenerative diseases of the basal ganglia"|"Tics of organic origin"|"Stiff-man syndrome"|"Unspecified extrapyramidal disease and abnormal movement disorder"|"Other choreas"|"Other extrapyramidal diseases and abnormal movement disorders"
Friedreichs_Ataxia	CNS	Both	TRUE	334	Friedreich's ataxia
General_Cerebral_Degeneration	CNS	Both	FALSE	331.81|331.89|331.8|331.9|331.6|331.7	Cerebral degeneration, unspecified|"Other cerebral degeneration"|"Corticobasal degeneration"|"Reye's syndrome"|"Cerebral degeneration in diseases classified elsewhere"
General_Paralysis	CNS	Both	FALSE	344.0|344.1|344.2|344.3|344.4|344.5|344.6|344.8|344.9|344.81|344.89|344|344.09|344.41|344.40|344.42|344.01|344.00|344.03|344.02|344.04|344.60|344.30|344.31|344.32	Quadriplegia and quadriparesis|"Cauda equina syndrome"|"Cauda equina syndrome without mention of neurogenic bladder"|"Quadriplegia, unspecified"|"Monoplegia of upper limb affecting dominant side"|"Diplegia of upper limbs"|"Locked-in state"|"Monoplegia of upper limb affecting nondominant side"|"Monoplegia of upper limb affecting unspecified side"|"Other specified paralytic syndromes"|"Affecting nondominant side"|"Monoplegia NOS"|"Other paralytic syndromes"|"Monoplegia of lower limb affecting unspecified side"|"Other specified paralytic syndrome"|"Paraplegia"|"C(1)-C(4) quadriplegia and quadriparesis, incomplete"|"Monoplegia of lower limb"|"Paralysis NOS"|"C(1)-C(4) quadriplegia and quadriparesis, complete"|"Monoplegia of lower limb affecting dominant side"|"Other quadriplegia and quadriparesis"|"C(5)-C(7) quadriplegia and quadriparesis, incomplete"|"C(5)-C(7) quadriplegia and quadriparesis, complete"|"Monoplegia of upper limb"
Hemiplegia	CNS	Both	FALSE	342.81|342.0|342.1|342.90|342.91|342.92|342.8|342.9|342.10|342.11|342.12|342.82|342|342.80|342.02|342.01|342.00	Hemiplegia, unspecified, affecting unspecified side|"Hemiplegia, unspecified, affecting dominant side"|"Spastic hemiplegia, affecting unspecified side"|"Other specified hemiplegia, affecting unspecified side"|"Flaccid hemiplegia"|"Other specified hemiplegia, affecting dominant side"|"Flaccid hemiplegia, affecting dominant side"|"Spastic hemiplegia, affecting nondominant side"|"Flaccid hemiplegia, affecting unspecified side"|"Hemiplegia, unspecified"|"Spastic hemiplegia"|"Spastic hemiplegia, affecting dominant side"|"Flaccid hemiplegia, affecting nondominant side"|"Other specified hemiplegia"|"Other specified hemiplegia, affecting nondominant side"|"Hemiplegia, unspecified, affecting nondominant side"|"Hemiplegia and hemiparesis"
Hereditary_Spastic_Paraplegia	CNS	Both	TRUE	334.1	Hereditary spastic paraplegia
Huntingtons_Chorea	CNS	Both	TRUE	333.4	Huntington's chorea
Leukodystropy	CNS	Both	TRUE	330	Leukodystrophy
Motor_Neuron_Disease	CNS	Both	FALSE	335.29|335.23|335.22|335.21|335.20|335.24|335.8|335.9	Other motor neuron diseases|"Amyotrophic lateral sclerosis"|"Progressive bulbar palsy"|"Other anterior horn cell diseases"|"Progressive muscular atrophy"|"Pseudobulbar palsy"|"Anterior horn cell disease, unspecified"|"Primary lateral sclerosis"
