11078831	Head_Neck cancer	Streptococcus anginosus	increase	Oropharynx
11447399	Allergy	Bifidobacterium adolescentis	increase	Gastrointestinal tract
11447399	Allergy	Bifidobacterium bifidum	decrease	Gastrointestinal tract
11940204	Atherosclerosis	CMV	increase	Aortas tissue
11940204	Atherosclerosis	EBV	increase	Aortas tissue
11940204	Atherosclerosis	HSV-1	increase	Aortas tissue
12164960	Ulcerative colitis	Fusobacterium varium	increase	Aortas tissue
12173102	Autism	Clostridioides difficile	increase	Gastrointestinal tract
12173102	Autism	Clostridium aminobutyricum	increase	Gastrointestinal tract
12173102	Autism	Clostridium butyricum	decrease	Gastrointestinal tract
12173102	Autism	Clostridium clostridioforme	increase	Gastrointestinal tract
12173102	Autism	Clostridium cocleatum	increase	Gastrointestinal tract
12173102	Autism	Clostridium disporicum	decrease	Gastrointestinal tract
12173102	Autism	Clostridium innocuum	increase	Gastrointestinal tract
12173102	Autism	Clostridium perfringens	decrease	Gastrointestinal tract
12173102	Autism	Clostridium ramosum	increase	Gastrointestinal tract
12173102	Autism	Clostridium scindens	increase	Gastrointestinal tract
12173102	Autism	Clostridium spiroforme	decrease	Gastrointestinal tract
12173102	Autism	Clostridium subterminale	increase	Gastrointestinal tract
12173102	Autism	Clostridium symbiosum	increase	Gastrointestinal tract
12173102	Autism	Clostridium tertium	decrease	Gastrointestinal tract
12173102	Autism	Erysipelatoclostridium ramosum	increase	Gastrointestinal tract
12173102	Autism	Flavonifractor plautii	increase	Gastrointestinal tract
12173102	Autism	Paeniclostridium sordellii	increase	Gastrointestinal tract
12173102	Autism	Paraclostridium bifermentans	increase	Gastrointestinal tract
12173102	Autism	Ruminococcus albus	decrease	Gastrointestinal tract
12173102	Autism	Ruminococcus flavefaciens	increase	Gastrointestinal tract
12173102	Autism	Ruminococcus gnavus	increase	Gastrointestinal tract
12173102	Autism	Ruminococcus lactaris	decrease	Gastrointestinal tract
12173102	Autism	Ruminococcus torques	increase	Gastrointestinal tract
12173102	Autism	Terrisporobacter glycolicus	decrease	Gastrointestinal tract
12399062	Megaesophagus	Streptococcus	increase	Esophagus
12399062	Megaesophagus	Veillonella	increase	Esophagus
12574246	Halitosis	Atopobium parvulum	increase	Tongue
12574246	Halitosis	Bulleidia moorei	increase	Tongue
12574246	Halitosis	Dialister	increase	Tongue
12574246	Halitosis	Eubacterium sulci	increase	Tongue
12574246	Halitosis	Rothia mucilaginosa	decrease	Tongue
12574246	Halitosis	Streptococcus salivarius	decrease	Tongue
12574246	Halitosis	TM7	increase	Tongue
12642841	Atopic dermatitis	Bifidobacterium	decrease	Gastrointestinal tract
12642841	Atopic dermatitis	Staphylococcus aureus	increase	Gastrointestinal tract
15201403	Necrotizing enterocolitis	Clostridium perfringens	increase	Gastrointestinal tract
15528506	Autism	Clostridium boltae	increase	Gastrointestinal tract
15612659	Cirrhosis	Bifidobacterium	decrease	Gastrointestinal tract
15612659	Cirrhosis	Clostridium	increase	Gastrointestinal tract
15612659	Cirrhosis	Enterobacter	increase	Gastrointestinal tract
15612659	Cirrhosis	Enterococcus	increase	Gastrointestinal tract
15667495	Irritable bowel syndrome	Bifidobacterium	decrease	Gastrointestinal tract
15667495	Irritable bowel syndrome	Blautia coccoides	decrease	Gastrointestinal tract
15667495	Irritable bowel syndrome	Clostridium	decrease	Gastrointestinal tract
15667495	Irritable bowel syndrome	Desulfovibrio	decrease	Gastrointestinal tract
15667495	Irritable bowel syndrome	Ruminococcus productus	increase	Gastrointestinal tract
15667495	Irritable bowel syndrome	Veillonella	increase	Gastrointestinal tract
15888105	Oral cancer	Streptococcus anginosus	increase	Oral mucosae
15969664	Infantile eczema	Bifidobacterium	decrease	Gastrointestinal tract
15987522	Oral cancer	Capnocytophaga gingivalis	increase	Saliva
15987522	Oral cancer	Prevotella melaninogenica	increase	Saliva
15987522	Oral cancer	Streptococcus mitis	increase	Saliva
16000463	Crohns disease	Bacteroides fragilis	increase	Colonic tissue
16000463	Crohns disease	Clostridium coccoides group	decrease	Colonic tissue
16000463	Crohns disease	Eubacterium rectale	decrease	Colonic tissue
16000463	Crohns disease	Prevotella	increase	Colonic tissue
16000463	Ulcerative colitis	Bacteroides fragilis	increase	Colonic tissue
16000463	Ulcerative colitis	Clostridium coccoides group	decrease	Colonic tissue
16000463	Ulcerative colitis	Eubacterium rectale	decrease	Colonic tissue
16000463	Ulcerative colitis	Prevotella	increase	Colonic tissue
1606115	Preterm birth	Gardnerella Vaginais	increase	Vagina
1606115	Preterm birth	UreaBlood urealyticum	increase	Vagina
16157555	Autism	Hathewaya histolytica	increase	Gastrointestinal tract
16188921	Crohns disease	Bacteroides fragilis	decrease	Gastrointestinal tract
16188921	Crohns disease	Clostridium 	decrease	Gastrointestinal tract
16188921	Crohns disease	Prevotella	decrease	Gastrointestinal tract
16267321	Bacterial vaginosis	Atopobium	increase	Vagina
16267321	Bacterial vaginosis	Clostridiales	increase	Vagina
16267321	Bacterial vaginosis	Eggerthella	increase	Vagina
16267321	Bacterial vaginosis	Gardnerella Vaginais	increase	Vagina
16267321	Bacterial vaginosis	Lactobacillus	decrease	Vagina
16267321	Bacterial vaginosis	Leptotrichia	increase	Vagina
16267321	Bacterial vaginosis	Megasphaera	increase	Vagina
16432374	Crohns disease	Clostridium leptum	decrease	Gastrointestinal tract
16432374	Infective colitis	Bacteroides	increase	Gastrointestinal tract
16432374	Ulcerative colitis	Blautia coccoides	decrease	Gastrointestinal tract
16432374	Ulcerative colitis	Clostridium	decrease	Gastrointestinal tract
16601353	Atopic dermatitis	Bifidobacterium	decrease	Gastrointestinal tract
16601353	Atopic dermatitis	Clostridium	decrease	Gastrointestinal tract
16601353	Atopic dermatitis	Lactobacillus	increase	Gastrointestinal tract
16672398	Oral cancer	Actinomyces odontolyticus	decrease	Oral mucosae
16672398	Oral cancer	Atopobium parvulum	decrease	Oral mucosae
16672398	Oral cancer	Exiguobacterium oxidotolerans	increase	Oral mucosae
16672398	Oral cancer	Fusobacterium naviforme	increase	Oral mucosae
16672398	Oral cancer	Micrococcus luteus	increase	Oral mucosae
16672398	Oral cancer	Moraxella osloensis	decrease	Oral mucosae
16672398	Oral cancer	Prevotella melaninogenica	increase	Oral mucosae
16672398	Oral cancer	Prevotella veroralis	decrease	Oral mucosae
16672398	Oral cancer	Propionibacterium acnes	decrease	Oral mucosae
16672398	Oral cancer	Rothia mucilaginosa	decrease	Oral mucosae
16672398	Oral cancer	Staphylococcus aureus	increase	Oral mucosae
16672398	Oral cancer	Streptococcus mitis	decrease	Oral mucosae
16672398	Oral cancer	Streptococcus oralis	decrease	Oral mucosae
16672398	Oral cancer	Streptococcus parasanguinis	decrease	Oral mucosae
16672398	Oral cancer	Streptococcus salivarius	decrease	Oral mucosae
16672398	Oral cancer	Veillonella dispar	decrease	Oral mucosae
16672398	Oral cancer	Veillonella parvula	increase	Oral mucosae
16891514	Psoriasis	Malassezia globosa	decrease	Skin
16891514	Psoriasis	Malassezia restricta	increase	Skin
16891514	Psoriasis	Malassezia sympodialis	increase	Skin
17047098	Atopic dermatitis	Clostridium	increase	Gastrointestinal tract
17047098	Atopic eczema	Clostridioides difficile	increase	Gastrointestinal tract
17047098	Atopic eczema	Escherichia coli	increase	Gastrointestinal tract
17047098	Atopic wheeze	Clostridioides difficile	increase	Gastrointestinal tract
17047098	Recurrent wheeze	Clostridium	increase	Gastrointestinal tract
17183309	Obesity	Bacteroidetes	decrease	Gastrointestinal tract
17183309	Obesity	Firmicutes	increase	Gastrointestinal tract
17390173	Chagas disease	Enterococcus	increase	Saliva
17390173	Chagas disease	Fusobacterium	increase	Saliva
17390173	Chagas disease	Lactobacillus	increase	Saliva
17390173	Chagas disease	Peptococcus	increase	Saliva
17390173	Chagas disease	Veillonella	increase	Saliva
17554697	Barretts oesophagus	Campylobacter concisus	increase	Esophagus
17554697	Barretts oesophagus	Campylobacter rectus	increase	Esophagus
17600533	Aphthous ulcer	Actinobacillus pleuropneumoniae	increase	Oral mucosae
17600533	Aphthous ulcer	Gemella morbillorum	increase	Oral mucosae
17600533	Aphthous ulcer	Granulicatella elegans	increase	Oral mucosae
17600533	Aphthous ulcer	Haemophilus quentini	increase	Oral mucosae
17600533	Aphthous ulcer	Haemophilus segnis	increase	Oral mucosae
17600533	Aphthous ulcer	Lactobacillus gasseri	decrease	Oral mucosae
17600533	Aphthous ulcer	Streptococcus anginosus	increase	Oral mucosae
17600533	Aphthous ulcer	Streptococcus intermedius	decrease	Oral mucosae
17600533	Aphthous ulcer	Streptococcus salivarius	increase	Oral mucosae
17600533	Aphthous ulcer	Veillonella ratti	increase	Oral mucosae
17631127	Irritable bowel syndrome	Allisonella	increase	Gastrointestinal tract
17631127	Irritable bowel syndrome	Bacteroides	increase	Gastrointestinal tract
17631127	Irritable bowel syndrome	Clostridium cocleatum	decrease	Gastrointestinal tract
17631127	Irritable bowel syndrome	Collinsella aerofaciens	decrease	Gastrointestinal tract
17631127	Irritable bowel syndrome	Collinsella	increase	Gastrointestinal tract
17631127	Irritable bowel syndrome	Coprococcus eutactus	decrease	Gastrointestinal tract
17631127	Irritable bowel syndrome	Lactobacillus	decrease	Gastrointestinal tract
17699621	Inflammatory bowel disease	Bacillus licheniformis	increase	Gastrointestinal tract
17699621	Inflammatory bowel disease	Bacteroides thetaiotaomicron	decrease	Gastrointestinal tract
17699621	Inflammatory bowel disease	Gluconobacter oxydans	increase	Gastrointestinal tract
17699621	Inflammatory bowel disease	Pseudomonas straminea	increase	Gastrointestinal tract
17923927	Chronic rhinosinusitis	Staphylococcus aureus	decrease	Nasal cavity
17923927	Chronic rhinosinusitis	Streptococcus pneumoniae	increase	Nasal cavity
18033835	Oral cancer	Clavibacter michiganensis	increase	Oral mucosae
18033835	Oral cancer	Fusobacterium naviforme	increase	Oral mucosae
18033835	Oral cancer	Granulicatella adiacens	decrease	Oral mucosae
18033835	Oral cancer	Porphyromonas gingivalis	decrease	Oral mucosae
18033835	Oral cancer	Ralstonia insidiosa	increase	Oral mucosae
18033835	Oral cancer	Sphingomonas	decrease	Oral mucosae
18033837	Celiac Disease	Bacteroides	increase	Oral mucosae
18033837	Celiac Disease	Escherichia coli	increase	Oral mucosae
18033837	Celiac Disease	Faecalibacterium prausnitzii	decrease	Oral mucosae
18033837	Celiac Disease	Hathewaya histolytica	decrease	Oral mucosae
18033837	Celiac Disease	Prevotella	increase	Oral mucosae
18033838	Atopic dermatitis	Dietzia maris	decrease	Skin
18033838	Atopic dermatitis	Propionibacterium acnes	decrease	Skin
18033838	Atopic dermatitis	Stenotrophomonas maltophilia	decrease	Skin
18077362	Cystic fibrosis	Coxiellaceae	increase	Bronchus
18077362	Cystic fibrosis	Lysobacter	increase	Bronchus
