HDF	Agave.inulin	PDX	SCF	RW	RS4	B.GOS	FOS	WG	β.glucan	ITFs	GOS	RS	DF	Avocado	RMD	AXOS	MSPrebiotic	RS2	RG	Walnut	RPS	PCS	PPB	XOS	KGM	Inulin	LKFibre	JA	CH	PHGG	VLCI
HDF	NA	8.94011620967962e-12	0.000939975902016338	9.71001200344229e-08	7.46155142323381e-05	1.20907754976694e-10	0.487724030531296	0.396012968102549	0.477468584879563	0.168288466370047	0.00347637308217028	0.343356737032686	0.0563969706677241	0.487155320190256	0.019440360842831	0.477468584879563	0.0644318488046961	0.470779473932205	1.04531273135948e-21	0.0965824319053248	1.00887896267091e-05	0.471172613655016	0.42900355706533	0.42900355706533	0.0758429511382593	0.312406169864925	0.490513971561646	0.0569651278799104	0.42900355706533	0.42900355706533	0.411551962595556	0.471172613655016
Agave.inulin	8.94011620967962e-12	NA	0.146686284580631	0.00195184034797718	0.140734315977776	0.309811185936952	0.463318554980424	0.43304833132964	0.477468584879563	0.456247880640299	0.0795371369862429	0.0750912618662219	0.0236169418970343	0.477468584879563	0.487724030531296	0.4197496301495	0.487724030531296	0.487877483057264	2.26960794285104e-08	0.447179008423954	0.396012968102549	0.316461459348164	0.0758429511382593	0.0758429511382593	0.000612560747562353	0.0302130997829593	0.00209950459124912	4.293619311283e-08	0.0414967830359774	0.0414967830359774	0.312406169864925	0.432322433850311
PDX	0.000939975902016338	0.146686284580631	NA	8.47157151967516e-15	7.05709811092774e-07	2.51530250887697e-05	0.490513971561646	0.258393261705422	0.00165585823632517	0.440518603714653	0.440518603714653	0.274922518202944	0.477931632749382	0.391882859868918	0.471172613655016	0.42900355706533	0.104664568785193	0.347707589399377	0.0105128087710324	0.400324669253891	0.5	0.478495638917193	0.418758835502755	0.418758835502755	0.177422719024698	0.107433551858668	0.465935052545108	0.41198109541904	0.477931632749382	0.477931632749382	0.447179008423954	0.456247880640299
SCF	9.71001200344229e-08	0.00195184034797718	8.47157151967516e-15	NA	4.28651580246208e-11	6.93072888558926e-07	0.463318554980424	0.175373958183984	0.390253442867849	0.175373958183984	0.153027470109705	0.323423779206786	0.477931632749382	0.173563653419468	0.463318554980424	0.0294842762356838	0.457170329759412	0.463318554980424	0.00136063309623783	0.302015482657168	0.000416216806734414	0.490513971561646	0.42900355706533	0.42900355706533	0.176210900158493	0.196977752739817	0.49582603061625	0.320951180297653	0.477468584879563	0.477468584879563	0.490513971561646	0.396012968102549
RW	7.46155142323381e-05	0.140734315977776	7.05709811092774e-07	4.28651580246208e-11	NA	8.53824982234818e-17	0.224430430934637	0.477931632749382	0.456247880640299	0.471172613655016	0.440518603714653	0.478580777270736	0.478854931594335	3.34230566034361e-05	0.430630435884132	6.69653274789986e-05	0.478854931594335	0.297307959178752	0.00885598774230387	0.42900355706533	0.307797209197992	0.195819373741562	0.471172613655016	0.471172613655016	0.486624173415685	0.490513971561646	0.18974320359274	0.5	0.000765208215243316	0.000765208215243316	0.000481768666824806	0.0143315500498789
RS4	1.20907754976694e-10	0.309811185936952	2.51530250887697e-05	6.93072888558926e-07	8.53824982234818e-17	NA	0.457057448411264	0.396012968102549	0.488607746557681	0.490513971561646	0.372436492026931	0.471172613655016	0.487724030531296	0.0243505184417348	0.347707589399377	0.000599797610999205	0.470779473932205	0.477468584879563	0.00523571828857119	0.305808539829279	2.5896542345269e-05	0.456247880640299	0.477468584879563	0.477468584879563	0.256020528602695	0.428728831989545	0.447973855082633	0.306511221435328	0.429832290042793	0.429832290042793	0.323423779206786	0.463318554980424
B.GOS	0.487724030531296	0.463318554980424	0.490513971561646	0.463318554980424	0.224430430934637	0.457057448411264	NA	1.01675163449544e-05	0.00101382402114254	0.479705513616736	0.477931632749382	0.4197496301495	0.0125349948070848	0.373894723172727	0.0439871122530967	0.403348916489964	0.000793371747552096	0.0292025602633094	0.428728831989545	0.447939274031689	0.429850437445771	0.137653600154337	0.312406169864925	0.312406169864925	0.444131396702988	0.23991104771415	0.403348916489964	0.158257187434471	9.71001200344229e-08	9.71001200344229e-08	0.168288466370047	0.477931632749382
FOS	0.396012968102549	0.43304833132964	0.258393261705422	0.175373958183984	0.477931632749382	0.396012968102549	1.01675163449544e-05	NA	0.00282016974967898	0.477468584879563	0.463318554980424	0.389758084073808	0.477468584879563	0.477468584879563	0.477468584879563	0.456247880640299	0.265203331378998	0.447179008423954	0.477468584879563	0.486624173415685	0.471172613655016	0.471172613655016	0.251337237374408	0.251337237374408	0.0878413006651231	0.0417074216383407	0.42900355706533	0.27061550160861	0.477931632749382	0.477931632749382	0.486624173415685	0.4197496301495
WG	0.477468584879563	0.477468584879563	0.00165585823632517	0.390253442867849	0.456247880640299	0.488607746557681	0.00101382402114254	0.00282016974967898	NA	0.478854931594335	0.495699202346993	0.398655307084659	0.463318554980424	0.42900355706533	0.471172613655016	0.477468584879563	0.265203331378998	0.477468584879563	0.462689407056394	0.000315982693951139	0.471172613655016	0.471172613655016	0.456247880640299	0.456247880640299	0.268214587281446	0.180604883632675	0.477931632749382	0.477468584879563	0.153027470109705	0.153027470109705	0.471172613655016	0.477931632749382
β.glucan	0.168288466370047	0.456247880640299	0.440518603714653	0.175373958183984	0.471172613655016	0.490513971561646	0.479705513616736	0.477468584879563	0.478854931594335	NA	0.468487188952179	0.490513971561646	0.486624173415685	0.477468584879563	0.477468584879563	0.463318554980424	0.42900355706533	0.439017498103559	0.012806761655196	0.470779473932205	0.0684077584919206	0.477468584879563	0.471172613655016	0.471172613655016	0.471172613655016	0.477468584879563	0.444809769274342	0.5	0.471172613655016	0.471172613655016	0.5	0.487155320190256
