	Aneurysm	Atherosclerosis	Cardiac Dysrhythmia	Cerebrovascular Disease	Deep Vein Thrombosis	General Hypertension	Non-Specific Cardiovascular Disease	Non-Specified Cardiac Ischemia	Pulmonary Heart Disease	Brain Damage	Epilepsy Related Disorders	Motor Neuron Disease	Parkinsons Disease	Spinal Chord Degeneration	Hepatobiliary Congenital Anomaly	Non-Specific Digestive Congenital Anomaly	Non-Specific Neurologic Congenital Anomaly	Pubertal Dysfunction	Diverticulosis Diverticulitis	Functional Digestive Disorder	Hirschsprungs Disease	IBS	Non-Specific Gastrointestinal Disorder	Pancreatic Disease	Growth Hormone Deficiency	Hyperaldosteronism	Type II Diabetes Mellitus	Unspecified Diabetes Mellitus	General Thrombocytopenia	Hereditary Hemoglobin Disease	Purpura Other Hemorrhagic Conditions	Spleen Disease	Biliary Tract Disease	Chronic Liver Disease	Non-Specific Liver Disease	Allergic Rhinitis	Asthma	Atopic Contact Dermatitis	Autoimmune Lymphoproliferative Syndrome	Behcets Syndrome	Common Variable Immunodeficiency	Crohns Disease	Eye Inflammation	Familial Mediterranean Fever	Gastritis Duodenitis	Graves Disease	IgA Immunodeficiency	Inflammatory Spondylopathies	Lupus Erythematosus	Multiple Sclerosis Other Demyelinating Disease	Myasthenia Gravis	Non-Specific Immune-Related Skin Disorder	Psoriasis Related Disorders	Reactive Arthritis	Rheumatoid Arthritis Related Conditions	Sjogrens Syndrome	Thyroiditis	Type I Diabetes Mellitus	Ulcerative Colitis	Unspecified Hepatitis	Unspecified Immune Deficiency	Acute Bronchitis	Arthropod-Borne Diseases	Encephalitis	Escherichia Coli Infection	Gastrointestinal Infection	General Viral Infection	HIV	Influenza	Other Viral Hepatitis	Parasitic Infection	Poliomyelitis	Tuberculosis	Viral Hepatitis C	Acne	Alopecia	Non-Specific Soft Tissue Disorder	Radiation Sensitivity	Copper Metabolism Disorder	Gout Related Crystal Arthropathies	Malnutrition	Metabolic Syndrome X	Unspecified Hyperlipidemia	Abnormal Spine Curvature	General Spondylosis Spine Disorder	Osteoporosis	Benign Colon Neoplasm	Benign Uterine Neoplasm	Breast Cancer	Colorectal Cancer	Hepatobiliary Cancer	Lung Cancer	Lymphoid Leukemia	Melanoma	Pancreatic Cancer	Stomach Cancer	Thyroid Cancer	ADHD	Adjustment Disorder	Alzheimers Disease	Autism	Bipolar Disorder	Depression	Eating Disorder	Migraine	PTSD	Schizophrenia Related Psychosis	Sleep Disorder	Substance Abuse	Unspecified Childhood Psychoses	Neonatal Disease	Corneal Disorders	Glaucoma	Macular Degeneration	Gestational Pregnancy Related Disorder	Menopausal Disorder	Cystic Fibrosis	Non-Specific Pulmonary Disorder	Sleep Apnea	Chronic Kidney Disease	Nephrotic Syndrome	Non-Specific Nephropathy	Urinary Calculus
HDF	0.0953988868014194	0.16973119231411	-0.0822882708182251	0.116577873771345	0.0694747057179656	0.138660612025929	0.0739128317661145	0.106557406504661	0.12008717672338	-0.042856296909616	-0.132142742003292	-0.0159369946549205	0.0157095572974728	0.00864793185869522	0.0434201337559468	0.166439050161457	0.203913566772279	-0.078791598886207	-0.0281907180909332	0.0677619082826659	0.0560772814989267	-0.17051866980657	-0.00150207471034486	0.15756223116947	-0.100804031208923	0.105606967505742	0.020287441944605	-0.00263197857657975	0.153056056495636	0.286339408493191	0.0551690378591068	-0.0490300118080092	0.176246618165459	0.171680360568189	0.135714356222012	0.0130550198555537	0.0811938023307228	-0.0149572148985956	0.0437003124302115	0.0940991424209768	0.0856208282411716	0.215191979645256	0.0781604650682838	-0.614695802032016	0.0784299084874342	0.0217783752998543	-0.0697308136784975	0.0485929723567054	-0.0446191493792845	0.065408135442858	0.00682315431098749	-0.110433543314139	-0.15051615213021	0.0879515482300014	0.0663230365528876	0.074692929084756	-0.173078101801588	0.0669289546438665	0.118722054524436	0.119617083547579	0.290236772335233	-0.1399512779383	-0.347048828100402	0.0110630081069603	-0.117288057915919	0.0503004631498312	0.183525358685129	0.144882749935613	0.476760813955051	0.0564718135757554	-0.0205446715884898	-0.0189757348594165	0.118555461670179	0.0376408537708869	-0.00921906920821445	0.0678511103841812	-0.296212874062468	-0.00630660626794899	-0.169483974993417	0.0468768873673913	-0.1025275874717	-0.0463203367747573	0.118685482814028	0.00675157605640594	-0.218922247473838	0.0574444268109891	0.43721721500262	-0.064702084083478	0.0119357603931453	0.0361790192997518	-0.00703942768410095	-0.0623415525792697	0.36408242216681	-0.284336533811677	0.0593471309873859	0.0933997463613525	-0.17391890415852	0.0484244254110264	0.084913737221772	0.0416650871843551	-0.0504840130579623	0.173386786018575	0.156671752458896	0.0240551693011755	-0.172866340286156	0.111706286029794	0.068079037677871	-0.033266293813276	0.0813160993611305	0.258505236326375	-0.00921564667867293	0.109614922164211	0.00894630428872322	-0.479344920002737	0.00485046676310056	0.128056278048384	0.000609750367148158	-0.0103789808174959	-0.0387354888567369	0.0615243891578431	0.543762121173752	0.0212667586933281	0.122381064863743
Agave.inulin	0.00940292021753145	0.150471449901112	0.0404216307954073	0.00814544160993344	0.00713796566443858	0.0607551724829062	0.033189349894383	0.0790524439081126	0.11578018409399	-0.00206757965373316	-0.0828177474302963	0.0356109993799244	0.129897011737986	0.0178123706446543	-0.0874641720120442	0.00415958788172156	0.438349630504274	-0.00322106260369508	-0.00566385875799198	0.0487540781887685	0.166856280405948	-0.155558727987375	0.00239971287661391	0.106813435012409	-0.220311296631542	-0.000652960696991355	0.0102216951783634	0.0221947094058767	0.0736325330519268	0.174796158828852	0.0209560282675657	-0.00323956536450095	0.0883736096989426	0.110043480773043	0.0712089755734748	0.0644108196542196	0.217078691148048	-0.220853495416765	0.149508740933275	0.0932616786181355	0.0699391654882914	0.21283440609005	0.0759444885966667	-0.268993490379746	-0.165411361720545	0.0535942369910885	-0.0328565392477901	0.109342715639761	-0.0230714477426091	0.0532383351606826	-0.0192731620676525	0.0588212819024363	-0.106749781708573	-0.0419470417670968	0.0477666379947171	-0.0865715056480541	-0.13934474191181	0.0692284479517408	0.137735062935152	-0.0726900724233024	0.382741732976493	-0.434380992891186	-0.274269593861546	-0.00120007468601098	-0.348747523463012	-0.0511779142282345	0.160139061461332	-0.113394460072119	0.278223225153538	0.155854133605531	-0.0426366068742082	-0.00128138609620427	-0.145298119094811	0.0789096555846894	0.00305118529801479	0.127521678786302	-0.23563133096746	-0.00097994472256046	-0.0451097630682824	0.0590356852206985	-0.00885521661737853	0.079341770698395	0.00259574120076138	0.00227022020056113	0.34707480770115	0.339028733341606	0.215307683555532	-0.00849530370255407	-0.0271246584512247	0.0135854095664407	-0.0343968066719829	-0.0853637873238578	0.110196286164149	-0.154478864178407	-0.00388132814281331	-0.00911728196470926	-0.0627609366125308	0.0820942016742558	0.0226854174125703	0.151561317060984	-0.120927935313755	0.170875023716266	0.207463850678192	-0.170845340971658	-0.128070877909491	0.107485030986801	0.0761886373089909	-0.0148450688258232	0.168034813017912	0.160010476260518	-0.0570488935507886	0.153769735136026	0.00139011114721222	-0.380016454235097	-0.00828503642316129	0.063511487879144	-0.0343349402573514	-0.0464892095193008	-0.212420987983521	-0.0500894098956922	0.319005067657509	-0.0969995019978894	0.0781250013303898
PDX	0.150079995965604	0.097020763747126	-0.268927520134965	0.201819878577286	0.102424122241071	0.166064367244824	0.0782884007502923	0.152755029024674	0.113586998050399	-0.00116635834913531	-0.023041898494632	0.118239015790708	0.279610920009414	0.0216088863764106	0.117688822294447	0.00527452047758941	0.00272006769225158	-0.0141093782793131	-0.0523305915299774	0.00724328869384331	0.0886763054571638	-0.0748804527560699	-0.0406628992075856	0.155178352634223	-0.0372902399340793	-0.143320227097997	0.000962162811672102	-0.133529067027527	-0.00148197662029112	-0.0126135265915259	0.00419651310898003	-0.226161717136692	0.0210632249419652	-0.0739928424892901	0.102113122849569	-0.00111471929399223	-0.0206858735736217	0.0393018623881222	0.105084858367285	0.0693966901665245	0.033333563237636	0.00627109878454066	0.00106882435926164	-0.237332327316392	0.0450750027229673	0.0767430171451491	-0.00450990191451867	0.113059117339486	-0.0264139509697047	0.0859191468938065	0.0147461475504547	-0.113023437897956	-0.185861734536648	0.0991953210143198	0.165372037914647	0.0177992742247687	-0.326636917799651	-0.05949707151858	-0.11494420717234	0.0999316134659309	-0.0764373391864686	-0.0821189720823822	-0.10216816484228	0.0796298840459839	-0.0349310283347507	0.110182074418946	0.121261246670917	0.0112045480768326	0.155711771890944	-0.0122504248391248	-0.00447613519332208	-0.0837129377640262	0.0230767825171938	0.13376276976689	-0.0150639345917012	-0.00182179353001207	-0.0445006988233789	0.000152784052605482	-0.0656381187129728	0.11146913924449	0.104278650722547	-0.0481018157296741	-0.34930637865673	-0.0472428254855679	-0.144454156896647	0.0914030153749531	0.485874787126503	-0.0184335334815066	-0.0359789414989449	0.032106416381481	0.182569586240381	-0.0197601389650993	0.0758830785339753	0.141742752901308	0.17108427237797	0.194180166456751	-0.132509660945317	-0.0466574215334976	0.0660575432546503	0.00548216475818763	0.137159641152029	0.0444248657628457	0.00269487724174057	0.0891515349512347	-0.0720722878749257	0.127926847785477	0.190142320165958	-0.0653007278554043	0.0581042802943929	0.0437574022277006	0.0186188172399915	0.164678426391572	-0.0773439831483645	-0.274206906957136	-0.0733024512411909	0.191449656904695	0.0149285387919335	0.0136680991868952	-0.152810070880441	0.0907546258105675	0.384207464667837	-0.0393073338175564	0.0657071204850488
SCF	0.185110103125502	0.0962974774433313	-0.21357080208184	0.239800209648724	0.334262253235525	0.131510790563598	0.0978144294360185	0.122735242151849	0.0611686616734611	0.0265208328028343	-0.0346334692468804	0.0205748330819082	0.0915826751214037	-0.159528629171449	0.153577318742521	0.0377188995302276	0.0469108164145952	-0.0338144915389011	-0.177054618247624	0.106959006009992	0.15876606784102	-0.0939159521497685	-0.0862797712347111	0.306586236925734	-0.0275078005484548	0.00975153201706327	0.202401353855475	0.0033787333958171	0.0579216018751896	0.00123217458889519	-0.0126462103593355	-0.00880099293483786	0.1034939351524	0.0965391267426755	0.152766478289204	0.0545052505285695	0.123492861100723	-0.0569640998954289	0.138759031334536	0.0863750239203268	0.0231054222455829	0.0754265486435257	-0.0203077172588268	-0.259470837165844	0.217327356270327	0.0929729695944849	-0.00782442465569746	0.108844924052845	-0.0227637821370922	-0.0193291915846744	0.0686184932743209	-0.0826878932371564	-0.153899470956612	0.0929789987129502	0.160419339385673	-0.00764614826732003	-0.501228726938649	0.0441046571397392	-0.0145460482518118	0.0795242663517955	-0.023493649926998	-0.087577345944921	-0.188473251794204	0.146937065546026	-0.0816009474194463	0.0472296947394152	0.180736098997241	0.108832369001273	0.266737324997153	-0.0396676940798032	-0.0159040362308386	-0.191344939022233	0.0588655692144513	0.102692722591189	0.000901460649990175	0.154815599499298	-0.0156912429391102	0.00261302417035147	0.0331911849050349	0.114798158908359	0.0181146987346273	0.0422266821386885	0.047736576993634	-0.0425109021200775	-0.142699661722443	0.135191633165416	0.238579803788841	-0.0548016210310485	-0.113829117988349	0.0424439198027056	0.0311856980570103	0.0347648627257187	0.147903607255353	0.11728500709906	0.121308713801909	0.226803430074512	-0.319137477458013	0.0124858073465905	0.0394882795002567	-0.0858099178301664	0.161184070559892	0.116009917912966	0.0840725815307317	0.0683669619337558	-0.120424036706369	0.157464215617521	0.12933413808905	-0.224749917298137	0.056672143733417	0.131819326063272	0.0199120339547438	0.144667174409937	-0.0532710921697262	-0.384193192325652	0.0113880282855556	0.242714669775968	0.12514674901579	0.0453367260351417	-0.241891747838696	0.0566463187674622	0.338097497442913	-0.0840118363784426	0.186102634209065
RW	0.133882639720021	0.145942124426111	-0.359944974302416	0.317058745874153	0.298528871851658	0.0741953730986237	0.0698469523756917	0.100794530621452	0.0181018344055262	0.0286208186592275	-0.0840817026946615	0.0361067159454432	0.0259849029786255	0.113001795734416	0.0172061573023505	0.00333465598572126	-0.0532404870957639	0.00196922883922785	-0.350960858948599	0.0233189500064315	0.0382142000670552	-0.232865077369096	-0.109949684897748	0.270982547286169	0.170996117381448	-0.0771028358116515	0.247814437120608	-0.0655015664415212	0.177300675461758	-0.218805487964853	0.198470869001173	-0.211948071440919	-0.0730042346207346	-0.111804904699251	0.0756067550132208	-0.0187955774111273	-0.150278658751914	0.0172174449736663	0.0530670957084324	0.184089627752868	-0.0075054335765515	-0.0241480006750893	0.0918597999043012	-0.240177790865575	0.363077055706207	-0.0123250386244555	-0.0127445420447057	0.103270413184346	-0.175346827735026	0.0518107281841553	0.085577994102754	-0.0124446831069269	-0.17814464385176	0.0407625741413343	0.156830323854637	-0.0879213886132506	-0.253746943056361	0.0492062207561338	-0.088742046464291	-0.136530849839142	-0.0783002713728805	0	-0.485641505605431	0.22784884458679	-0.00168009917990808	-0.0405252365906283	0.0977430219899726	-0.0169655536726818	0.200344135736833	-0.16869569817761	-0.104683925939639	0.0744385957735156	0.0555291618584708	-0.00635293013014395	0.00556985674856654	0.234833903725676	0.106020885778844	-0.00156850682264565	0.246479488893235	0.0466833660276148	-0.0971528882706387	0.388229117688711	-0.00656569232340061	0.00839025105237112	-0.100966782096831	0.146613293351092	0.418255068741809	-0.010979157291692	-0.559316557730555	0.0395245441732916	-0.0493722678098483	0.133126587838252	0.730715073187636	0.0373824365201224	0.0229634726662499	0.173457597305933	-0.328399699040676	0.0405554136006035	0.10298751101404	-0.14019594185332	0.117029247487403	0.127891246694656	0.0944414543488783	0.152706615477383	-0.0244048276177273	0.0724543396657933	0.0418031494834464	-0.144616968144543	-0.018128580108733	0.096822926904147	0.000512318664037914	0.12745002192593	0.130829657286633	-0.600779878150115	-0.00431190243368842	0.387609231319546	-0.00336629818052564	-0.00787719713177015	0.019983243256561	0.10351432031109	0.45060074891881	0.270974062459364	0.158179171441732
RS4	0.126930420074884	0.020087481703523	-0.238067176406295	0.322666107988297	0.0611791561489266	0.1049875390726	0.0633941163866325	0.156542004589607	0.125563831415382	0.115988869520918	-0.121030265792186	0.0785293670890399	0.160433122789364	0.0370501159828073	0.058579343661675	-0.00291706281605177	-0.0325307961039833	-0.0244813885744583	-0.294514870582911	0.015793919211997	0.139223438385796	-0.185641796359822	-0.0898973248824269	0.195839633226944	-0.0173356735483964	0.0544736499939168	0.115361288376075	-0.0157242937618878	0.0874729580166378	-0.0338250945615275	0.203987291177185	-0.0577739750149335	0.00319902582225902	-0.0800384300741894	0.0312572143329834	-0.0298258785458995	0.0347029653894125	0.066677402943758	0.0798299211501432	0.136495338484828	0.0159920198342813	0.0283935050709646	0.0478842791805779	-0.528623605192722	0.391340216731904	-0.107348008519083	0.00319457350330493	0.0570045213586644	-0.0858124611670201	0.0534355378534101	0.0240721953061937	-0.112253191090307	-0.152984730018846	0.098764448834716	0.139892555928308	-0.0641702582654489	-0.198364537567694	0.0534116977626168	0.0688870218904117	-0.071874090438916	-0.10844427716259	-0.088894219042405	-0.530711459914671	0.215889623580631	-0.0699537697096476	0.0189040160616993	0.136662152863953	0.0520013685253351	0.328844041394687	-0.190716903126381	-0.0806175504236212	0.00144130686730734	0.13718879598012	-0.0344990964331586	-0.00699107181955974	0.230784333753676	0.00783918221934959	-0.00294187164725591	0.0137117473736206	0.0525003200167631	-0.136339456104355	0.0380735361533745	0.0431397778476114	0.0394054195174642	-0.27632932089104	0.113602093393593	0.739149274047111	-0.0125417090711902	-0.211786487598151	0.0131133196535727	0.00917126280989795	0.0244980655088952	0.379415117931701	0.00401408391325195	0.0413172970569911	0.268627182666789	-0.214681472967469	0.132357452485851	0.0418000573936177	-0.147296409300123	0.141034695854878	0.209024511388603	0.191383708612648	0.132681631288636	-0.0157242689657943	0.0587054577953368	0.0865525486933017	-0.00469697212255944	0.0374702978389312	0.118489887095496	-0.00693609291331786	0.167208044332446	0.102657965066479	-0.623386172342988	-0.0170258544859745	0.210119721878297	0.00870692664394867	-0.0351396020953234	-0.0306794485633025	0.159326930707032	0.26098072404045	0.13472300513078	0.0528510633543968
B.GOS	-0.00894795592532061	-0.410583112430272	0.253385622726412	0.288730584136816	0.376520738690182	-0.0795050960619708	0.0854426333782897	-0.0942731314672565	-0.0820870092233102	-0.131550602046545	-0.0626435249949932	0.0049391266067988	-0.0129435564728429	0.00156226169678754	-0.125224503127413	-0.102279626968272	-0.0861750130069884	-0.102027022524468	-0.343919305430131	-0.170338635402441	-0.137592652133649	-0.219902611848948	-0.0712582101051532	-0.191207017512692	-0.3142789059067	0.0180474586049464	-0.150610953503199	-0.0682601400114818	0.072877165482686	-0.391276011176246	0.425297368753317	0.0275983624363494	-0.0899605116826177	-0.204265265114407	-0.0198216895927711	-0.000692204487944286	-0.0611076993557529	-0.301013692717392	0.047620222735816	-0.0183600936138622	-0.0968122261298369	-0.261218120657747	0.0275006330416024	0.0294918973439668	-0.0172699791336758	-0.164352589788693	-0.142760979586871	0.0151678678774366	0.00766882679269979	-0.0236473923247712	-0.357757710708512	0.290699943786737	0.0374150856371958	-0.425535935600053	-0.0311394488171968	-0.0932662001834612	-0.278341162170424	0.0211522102495028	-0.0692088179125335	-0.0360519446417889	-0.038061587518932	-0.131843704964187	-0.104301715316887	0.132706248719266	-0.0964748384009342	-0.0959141116233696	-0.01867663012674	-0.227328440448208	-0.0568913425087872	-0.263201765677011	-0.0841998425116836	0.0412939080544041	-0.175998899795248	0.0481776189490473	0.0771583869640059	0.0616106525049108	-0.0110412232874333	-0.364852491433225	0.128833369731677	0.213380135542433	0.526238746584079	0.185035974271488	-0.147203496389583	-0.160383586462601	0.110716549011177	0.152252097535922	-0.0957974851738096	-0.531809403829281	-0.288161032879638	-0.187032571155062	-0.0842743345399897	-0.0661423812431522	0.163546597774878	-0.000571989894454197	-0.0364110687094337	-0.0933136969654458	-0.0802396943546451	0.0666005867899313	-0.184074211285769	-0.255164650356109	-0.223235571184347	0.0153962023438808	0.0391997342354623	-0.281143686711927	-0.0359312535950247	0.0262618225351794	-0.0314853388864158	0.0650321157296981	0.0583761694428182	0.206957668421837	-0.0101830621303308	0.113891318610348	-0.369161659678987	0.0185576949337814	-0.122476235930601	0.000660286613240177	-0.185859428547304	0.010100372214836	-0.0514202425120008	-0.212558761203888	-0.182021682671243	-0.0336955537797156	-0.0685823750558685
FOS	0.00289995217870008	-0.262412719633705	0.0102303865144873	0.0083020198400794	0.473889753132595	-0.112183640497327	0.0349274056637471	-0.00142200487914543	0.0405866910672249	-0.0928314479970854	-0.0294964853115299	-0.0697214282903961	-0.0138198514884406	-0.259278556441373	-0.0490438030447637	-0.361246930478538	0.00724144248456785	-0.0535093537846179	-0.00992809847141514	-0.108851729141415	-0.15419061972628	-0.143535017405502	-0.169039401664554	-0.149436799146303	-0.0725025614724159	-0.0373729689888084	-0.0555171631914891	0.010942426127608	0.159094272611243	-0.313788061813323	0.0971308704639973	0.00097908371375323	-0.221314198202968	-0.133687764556754	0.0130413468500688	0.0407526633334495	-0.107626858104269	-0.142601143541201	0.0165906929573077	0.0824396130432447	-0.139119408444105	-0.0608414635433808	-0.00112771232781379	-0.117239881098502	-0.456043786016607	-0.0536538987223937	-0.289590278560939	0.119781487551246	-0.0267699662049673	-0.0729491166964601	-0.0436550059425096	0.1571626753079	-0.092284396937614	-0.0947096301038258	0.049273392900385	-0.125669448239622	-0.258102639972185	-0.225168223269929	-0.118880850536338	0.0276299526946742	-0.00984621475480021	-0.0763136380520074	0.0217074520768755	0.000464420288480863	-0.0728028859501942	-0.220439853163117	-0.00989907081575231	-0.00515267803101985	0.0133539820546313	-0.0807282923420492	0.04193172523005	-0.000244261541624538	-0.110232962417728	0.0103656613690634	-0.00157316502438302	0.0669011899688915	-0.00100831132495097	-0.566169313144373	-0.000392800723320685	0.35511714934337	0.561470805008831	-0.0236542317835885	-0.00043514099798319	-0.18943015319854	0.00412154105355741	0.057118084210098	0.0107494957305631	-0.277170940385974	0.00314072347703044	-0.0545232181814701	-0.292875288701353	-0.0807517301652298	-0.000743136602168207	0.179333880127022	-0.0631377416280668	-0.141644345134716	-0.197363394909932	-0.000819313554553177	-0.208279001554918	-0.0394702163236545	-0.0179219893773974	-0.0333229956341183	0.137762125422889	-0.509313753896725	-0.0216625610213591	0.090504996723017	-0.00697802281466656	0.208741890082366	0.103867355409698	0.0360797560743286	-0.346651668617298	0.0582660283708275	-0.554754691161117	0.000136314048487983	-0.00241225182809831	0.000880666285275662	-0.105769200243929	0.00899886690153177	-0.0397558232865597	-0.22427969677216	-7.15704453859659e-05	-0.0495257225307044	-0.125260783766317
WG	0.0264499404545687	-0.145976018790844	0.0365456262658333	0.0960980246044534	0.45886549544982	-0.0303554705925741	0.0292936222379985	-0.0220144262067802	-0.183279348942725	0.0277157772172542	0.0274610787554724	0.149430104364283	0.17052046330417	0.137429404829448	-0.0852103624464383	-0.140124885252212	-0.0597285654678325	-0.0660145111827391	-0.120866710441172	-0.184666063432122	-0.00791836190610605	-0.0111106097532306	-0.0038984238707857	-0.177770078217668	-0.00322631691680316	-0.25662408502306	-0.142629460812532	-0.116106972290939	0.0245163131812637	-0.355501608239712	-0.177903816044806	-0.189002397287594	-0.0743373050917978	-0.108823326848112	0.0726483510689111	0.0325626632024728	-0.053634583645681	-0.00367731051789451	0.0617703261979813	0.0110437816274034	-0.0716998309558023	-0.249856966532225	0.0119250540538493	0.133062700592418	-0.0887848738094573	-0.100396769592992	-0.136439729369915	0.10212351467638	0.0527022861175095	0.0616391240541385	-0.0933271841902004	0.179269029658289	-0.100640426106999	-0.119430456847308	0.0237589151213783	0.0867990849725987	-0.334699973631737	-0.0522320359143375	-0.171555351884898	0.114772039384717	-0.0134531177196326	-0.0341066285480821	-0.0142933895056844	0.0604900116745686	-0.00402649277409601	-0.0146705867703499	0.00499697403639997	-0.103192646654557	-0.0844509866073363	-0.0234028892687437	-0.0337811194007742	-0.0530753984362341	-0.150748774133065	0.186240331756954	0.0473240868250644	0.0133852353738299	0.0872786868892012	-0.226128140748994	0.081283578366589	0.233376139017228	0.29583587783981	0.103915327233848	-0.50326744899417	-0.0340225594543099	0.0513465826242445	0.0887917070621204	-0.231730434577388	-0.302177307596837	-0.0373848992567746	-0.00864944904300629	-0.0118921309920156	-0.120426772988709	0.0583540015765988	-0.000987625570701994	0.113972457864126	-0.0485160620555144	-0.0409532770780152	-0.037243135801688	-0.0859199466293564	-5.35714440295211e-05	-0.00624120873884189	-0.0123753830771844	0.0220377045776321	-0.211608232285745	-0.00925290586533322	-0.0188859068706177	0.0999880397692313	-0.0457861028058906	0.100946069314901	0.0353314630268061	-0.151003199719856	0.389420347775885	-0.380092322901582	-0.0630317581927554	2.53877504953112e-05	0.0550650087330229	-0.0654591467039246	0.0887083583230582	-0.120770138359338	-0.0903820286456765	-0.0203437454975931	-0.13762801157465	-0.119022655462637
β.glucan	-0.401092212995311	-0.000753113155891684	0.0074537864112318	0.00219776364699069	-0.0018964805290911	-0.135297446560771	-0.0668307194534043	0.025778702577299	-0.000717083509316664	0.000465633127702562	-0.0987605279527292	0.00420106779336735	0.000924151480348406	0.000762891913437885	0.00700544249327247	-0.000145224984367154	-0.0165512653606408	0.000532010711702239	-0.00612217151791992	-0.183254394817575	0.00103696929376003	0.00148756532342894	-0.000495236884798269	0.0166370488791407	0.000260879966831811	-0.00238582820284236	-0.0592340589493341	0.00256905337068435	-0.00641788716334473	-0.00467186244439278	0.0297804023051822	0.000574130294428381	-0.0963130342623786	-0.0514276646645283	-0.259432587192279	-0.284478727039505	0.00698100456220221	-0.00123934017837002	-0.347242884714882	-0.206009511660043	0.00147146512781663	0.0024505240672461	-0.00352100303744878	0.0396125834857716	-0.0161757513870453	-0.00117069152907813	0.00169933895164055	0.0879324287711416	-0.127832795265102	0.0128814886738485	-0.0690936946660386	-0.00250189609234735	0.0146958524106836	-0.013500638798842	-0.00565797535160968	-0.00284130346946208	0.0951184142628728	0.0531061891966944	-0.00566302771180223	0.00428725813125157	-0.0224257774477572	0	0.0348415512264806	-0.684286107789175	0.00112973730362094	0.101307828534195	0.11046176055039	-0.137477497522338	0.069837744305045	-0.0936647209415375	0.000353049731510376	0.000411062754893943	-0.00478728304656999	-1.81861656321651e-05	-0.00798185908663397	-0.00207653108848405	0.0087241755434071	0.000289382182054607	-0.00462220474018847	-0.130018583228443	0.00155900063158265	0.00247138599075373	-0.000214182173535265	-0.00070021714222242	0.00478251234960416	0.000491595473367617	-0.00782953664095823	0.00125609993743313	0.00142193390318454	-0.323442534731733	0.000932485960911278	-0.0518623844271733	-0.00236745185851032	-0.00136604559105027	-0.0463977232654922	0.00078833620721944	0.0073883404467806	-0.114393993241777	-0.0833884697575548	0.00845070544821201	0.0639502952133071	-0.000949947985571564	0.0125631643186007	-0.00386906685559789	0.00361705051384659	-0.00585880429413844	0.0271694652216764	0.0211222209848932	-0.231732695027664	0.0858062722124933	0.000908802731475232	0.000915842833102346	-0.000395281980741381	0.0161179107821634	-0.0428742419024869	-0.00528605201756844	-0.00162233032765812	0.000564161906167193	0.0130256937114564	0.00604655101808158	-0.156764445224853	-0.0893957862629044	0.000815679130152626
