	Aneurysm	Atherosclerosis	Cardiac Dysrhythmia	Cerebrovascular Disease	Deep Vein Thrombosis	General Hypertension	Non-Specific Cardiovascular Disease	Non-Specified Cardiac Ischemia	Pulmonary Heart Disease	Brain Damage	Epilepsy Related Disorders	Motor Neuron Disease	Parkinsons Disease	Spinal Chord Degeneration	Hepatobiliary Congenital Anomaly	Non-Specific Digestive Congenital Anomaly	Non-Specific Neurologic Congenital Anomaly	Pubertal Dysfunction	Diverticulosis Diverticulitis	Functional Digestive Disorder	Hirschsprungs Disease	IBS	Non-Specific Gastrointestinal Disorder	Pancreatic Disease	Growth Hormone Deficiency	Hyperaldosteronism	Type II Diabetes Mellitus	Unspecified Diabetes Mellitus	General Thrombocytopenia	Hereditary Hemoglobin Disease	Purpura Other Hemorrhagic Conditions	Spleen Disease	Biliary Tract Disease	Chronic Liver Disease	Non-Specific Liver Disease	Allergic Rhinitis	Asthma	Atopic Contact Dermatitis	Autoimmune Lymphoproliferative Syndrome	Behcets Syndrome	Common Variable Immunodeficiency	Crohns Disease	Eye Inflammation	Familial Mediterranean Fever	Gastritis Duodenitis	Graves Disease	IgA Immunodeficiency	Inflammatory Spondylopathies	Lupus Erythematosus	Multiple Sclerosis Other Demyelinating Disease	Myasthenia Gravis	Non-Specific Immune-Related Skin Disorder	Psoriasis Related Disorders	Reactive Arthritis	Rheumatoid Arthritis Related Conditions	Sjogrens Syndrome	Thyroiditis	Type I Diabetes Mellitus	Ulcerative Colitis	Unspecified Hepatitis	Unspecified Immune Deficiency	Acute Bronchitis	Arthropod-Borne Diseases	Encephalitis	Escherichia Coli Infection	Gastrointestinal Infection	General Viral Infection	HIV	Influenza	Other Viral Hepatitis	Parasitic Infection	Poliomyelitis	Tuberculosis	Viral Hepatitis C	Acne	Alopecia	Non-Specific Soft Tissue Disorder	Radiation Sensitivity	Copper Metabolism Disorder	Gout Related Crystal Arthropathies	Malnutrition	Metabolic Syndrome X	Unspecified Hyperlipidemia	Abnormal Spine Curvature	General Spondylosis Spine Disorder	Osteoporosis	Benign Colon Neoplasm	Benign Uterine Neoplasm	Breast Cancer	Colorectal Cancer	Hepatobiliary Cancer	Lung Cancer	Lymphoid Leukemia	Melanoma	Pancreatic Cancer	Stomach Cancer	Thyroid Cancer	ADHD	Adjustment Disorder	Alzheimers Disease	Autism	Bipolar Disorder	Depression	Eating Disorder	Migraine	PTSD	Schizophrenia Related Psychosis	Sleep Disorder	Substance Abuse	Unspecified Childhood Psychoses	Neonatal Disease	Corneal Disorders	Glaucoma	Macular Degeneration	Gestational Pregnancy Related Disorder	Menopausal Disorder	Cystic Fibrosis	Non-Specific Pulmonary Disorder	Sleep Apnea	Chronic Kidney Disease	Nephrotic Syndrome	Non-Specific Nephropathy	Urinary Calculus
HDF	0.0170386228490101	0.00275913271739777	0.0335090069310504	0.0282894004742217	0.265069141679544	4.48233062246575e-05	0.0606914009915818	0.00194107849176774	0.00739679506507473	0.265277118904761	0.00704423346611364	0.379064565469461	0.265069141679544	0.45636742325356	0.15355586946142	2.9322727624255e-05	6.06511902000199e-06	0.0611721764267806	0.456181598191013	0.0704614771363588	0.11389737085528	0.00662553873257026	0.445728217192254	0.000239261895009206	0.0315298880516979	0.028511101858944	0.292861817726496	0.481150037735387	0.000495235925913796	3.66788482624474e-06	0.236218499488748	0.230919607079018	6.06511902000199e-06	4.60997498155718e-05	0.000677718413213584	0.411058667466943	0.0170386228490101	0.193163137426537	0.127031491476967	0.02805010685348	0.178055417943591	8.76624000951627e-07	0.0863803400253567	2.83690235362895e-33	0.122435067127021	0.26935730463199	0.104062232558131	0.118574881725039	0.21007979523013	0.0801773331597654	0.45636742325356	0.0128258679576545	0.000255648114538805	0.0234742330221172	0.12314806987935	0.0464123428882765	3.52276902316675e-05	0.0304461311225877	0.00255606183739952	0.000175374835973087	3.80416731950106e-11	0.000276152624269624	2.05394672533507e-08	0.456181598191013	0.00187431038169385	0.1059778758192	9.14967216942852e-06	0.000289841247191694	2.02447244525025e-25	0.108779122736977	0.379064565469461	0.421849982603799	0.00367794460115421	0.203985597904787	0.463449774455955	0.062343978843891	2.59997058243874e-09	0.481150037735387	0.00593330050837534	0.122435067127021	0.0752771410940491	0.193163137426537	0.0315298880516979	0.453511426111868	1.24947860620408e-07	0.195702600267536	1.25220700830007e-16	0.123918734432324	0.41634851962518	0.0899884000971434	0.327038049775464	0.0576709185084166	2.59997058243874e-09	0.0271108137508498	0.101605827436189	0.04420139161541	9.29630695766927e-05	0.0870461571620568	0.0521381446806357	0.288342849457601	0.172198250155366	2.9322727624255e-05	4.24260039699039e-05	0.327038049775464	0.000246568258356622	0.00184557178994914	0.0304461311225877	0.303351027888801	0.0222508192098728	1.93648229303694e-09	0.409402492533997	0.0170386228490101	0.497629644947309	6.21686917101095e-16	0.403385303260277	0.0259942791947602	0.497629644947309	0.275233721600734	0.122435067127021	0.0899884000971434	2.33385351634153e-23	0.329586479798955	0.00255606183739952
Agave.inulin	0.417029689463901	0.0102852792976936	0.21177968248854	0.439307994980928	0.439418577257705	0.0497281990942694	0.358003629216481	0.0972249144945949	0.0101170131325472	0.406856049452423	0.0256498276932146	0.253882413262978	0.00192938199628317	0.29551181316022	0.0245867157960613	0.428926238739268	1.27484070129205e-22	0.361948379889294	0.465813093203804	0.2700644437375	0.0213030542068345	0.000378574235570216	0.42608217838237	0.00900667703572341	3.29670400709491e-07	0.496876345847962	0.439307994980928	0.360681209153596	0.016967634546266	0.000343610863406816	0.417799447058234	0.417799447058234	0.0213030542068345	0.00724450620247908	0.0574543676936585	0.0928422712128024	1.39975184898117e-07	1.7316099484305e-07	0.00503781271033713	0.025297216193367	0.167746110056136	5.42900614152472e-07	0.0729456619882279	0.000581304795720937	0.00545458242165883	0.142873781116918	0.0729456619882279	0.00724450620247908	0.358003629216481	0.140615157121216	0.406856049452423	0.23567566079595	0.00849027437190657	0.371801838749528	0.273234781505005	0.0489974531841098	0.00133344363163439	0.0329229988083594	0.000805676779420319	0.0610771798422811	7.04229434560503e-16	7.43973136688968e-23	0.00192938199628317	0.439307994980928	3.7416743572306e-16	0.146828154976533	0.000118863854489909	0.00545458242165883	2.21552982406767e-06	0.000309889430885141	0.251792754831754	0.439307994980928	0.000445662017906533	0.0408707143229906	0.439418577257705	0.0271038121394202	1.40808499152788e-06	0.439418577257705	0.149567432440886	0.100903017377556	0.407255353207868	0.254304066417497	0.406856049452423	0.439307994980928	3.52100153802766e-16	8.08339588586172e-05	0.000173898111810204	0.310735498555285	0.23677944739933	0.347865558938695	0.251752872797187	0.0333327215297534	0.00545458242165883	0.0408707143229906	0.465813093203804	0.439307994980928	0.0499065009247288	0.0304180674235619	0.310735498555285	0.000259283206812145	0.00380214977698968	5.68153110371918e-05	5.42900614152472e-07	4.74742971409225e-05	0.00103762147302146	0.00629464769126994	0.0546342909910226	0.439307994980928	4.88602795480433e-05	0.000237265828091853	0.194317092354709	0.00509535257583866	0.439307994980928	7.01418126034243e-11	0.439307994980928	0.138146406011064	0.138146406011064	0.142873781116918	7.44709104490773e-07	0.139427138316337	5.34566654950972e-09	0.0146401389729102	0.0161161070768739
PDX	0.000486929393526882	0.0138460515341585	5.09758395829736e-10	0.00161314994576829	0.0200480466658051	0.000137418090069132	0.0494463169426404	0.000470882582495203	0.00118992610159941	0.491348351692348	0.313870567985341	0.00605937682740803	1.22055226786854e-10	0.365602209259523	0.00513884318871065	0.432308702656629	0.442552596280668	0.384175851213075	0.298372745706102	0.464081908767225	0.0355294959684798	0.0358155253774538	0.184409967893676	0.00018057645095711	0.226023000313021	0.000785289275199749	0.482707140389137	0.00117525868647952	0.491348351692348	0.422397984738984	0.461236432069197	1.39715941394542e-06	0.375350990232551	0.0638067864160121	0.0062286500121732	0.471007279074011	0.365234444544795	0.231109599674715	0.110060260277812	0.0668017661816261	0.365234444544795	0.471007279074011	0.486913013618988	6.27150509163215e-09	0.11787061510474	0.0353509217959474	0.461798900887853	0.00864194814451093	0.300690774158841	0.0340596782498974	0.414229874366703	0.00657622555277648	1.52986581579336e-05	0.0147143646079084	0.00015907191103387	0.381101258219782	6.56923616906191e-14	0.101084417163301	0.00868902481284336	0.0138460515341585	0.0503469165241583	0.0452487424141447	0.0138460515341585	0.0503469165241583	0.207526487758132	0.008174188306187	0.00463222226300008	0.441443465601921	0.00015907191103387	0.432308702656629	0.371400934512364	0.0503469165241583	0.365234444544795	0.00130725438786108	0.409958182413694	0.491348351692348	0.17249727771744	0.491348351692348	0.0817003987356931	0.00853411577760583	0.012523879341708	0.175266533202782	1.41971291882621e-15	0.175266533202782	0.000734779008046783	0.025272877239841	7.59501364522107e-17	0.17249727771744	0.257929791321226	0.159701732193339	2.70184519323583e-05	0.375350990232551	0.0491113529254948	0.0101919333263179	6.18550080997007e-05	7.82705352854393e-06	0.000990380756498259	0.212210641998416	0.0638067864160121	0.471007279074011	0.00105615396798177	0.198559632292623	0.487805782579804	0.0356776173541908	0.0529418481260211	0.00188176025627295	1.32121933599031e-05	0.16863707660014	0.133951163166378	0.200651060546456	0.381101258219782	0.000199073812318207	0.261896246765663	1.97147783703614e-10	0.0452487424141447	1.32121933599031e-05	0.381101258219782	0.365234444544795	0.000470882582495203	0.0138460515341585	9.14983098418386e-19	0.242514238710057	0.0913029043347414
SCF	1.31416970824851e-05	0.0125050976541329	5.12396198244333e-07	7.37281349698764e-05	4.16803057394387e-08	0.000611514076251815	0.0167966354147368	0.00216316033591384	0.101879343370906	0.326617075461676	0.109790478729005	0.340886893968323	0.0167966354147368	0.00010716420695709	0.000167457902455268	0.157075842345109	0.181225517767438	0.261889958701381	0.0175794081758773	0.0077032239974663	8.94442873054304e-05	0.0175794081758773	0.0246822872758125	2.31015100648307e-12	0.295322693948638	0.418906039706471	4.48229632640178e-07	0.47325326627728	0.123954826765684	0.48608780937094	0.398206898996869	0.457315554363526	0.00593966986064597	0.0167966354147368	0.000211165114463762	0.126744974096073	0.0155687184991621	0.131494454549691	0.0155687184991621	0.0254236147781413	0.372168607813646	0.0502357524366434	0.346425142383601	6.43215380144303e-10	2.5679562335096e-07	0.0204978576444347	0.386656777914523	0.00515940718663525	0.334940224877804	0.346425142383601	0.0666696989775627	0.0255962847017114	0.000203392368052268	0.0167966354147368	8.99130681569476e-05	0.433832904658686	7.89417080420829e-29	0.188161602296818	0.386656777914523	0.0336982255157341	0.342107871020151	0.0227067320627799	1.62558110371995e-05	0.000320346563159388	0.0401574757550313	0.168076599812523	2.21794356984e-05	0.00596074210096469	5.81383477544195e-10	0.196775238954438	0.307200563989875	0.00195239203190448	0.0943581225853718	0.00827439444919999	0.475171251276346	8.86333525040249e-05	0.35015247369417	0.447815852335255	0.235047963451255	0.00432284565738616	0.368066783970945	0.197533692049735	0.176057021530932	0.197533692049735	0.0007131178173694	0.000611514076251815	2.32865055296701e-05	0.0363370951155173	0.0048311748672909	0.157075842345109	0.162109621218487	0.253698197671536	8.39115583919119e-05	0.0293210113959131	0.00373697204130263	2.51194718985748e-08	3.51407946388375e-13	0.398206898996869	0.22532474939371	0.0254236147781413	0.0064293535111113	0.00501743921028838	0.0254236147781413	0.0214438494178211	0.00400409517492744	9.36853511284672e-05	0.00101013951207558	0.000133344551476906	0.126744974096073	0.00156775100809441	0.365670095318436	0.00031143346776788	0.313940164354163	5.30722434715114e-18	0.411575888812038	1.72095896624535e-08	0.00477983608106126	0.173200919496643	6.11586096842828e-09	0.107458605370239	6.07616631630224e-15	0.0254236147781413	1.62558110371995e-05
RW	0.00116105019924222	0.000306368429186803	1.50612631606963e-16	1.13412888260208e-09	1.32157911533939e-08	0.0397133001553098	0.0635955628634865	0.00484243461349952	0.378272204669234	0.312097500915324	0.045173623477191	0.117769009975653	0.196987654415502	0.0326783202640951	0.40829608836716	0.45947673046722	0.117769009975653	0.473276094771598	2.55699511931738e-05	0.337178222856374	0.156371479063254	4.27882151408801e-08	0.00713169906427224	2.56856048544329e-10	0.0342435859473336	0.0336180341067819	4.44796587278153e-09	0.0844331979215502	0.00261762344814285	0.00123638813576596	2.11332256044089e-06	0.0118598705841767	0.0844331979215502	0.00467616932994481	0.0444511695646435	0.378272204669234	0.011244916899485	0.253345026398008	0.322066817169076	1.18519033153011e-05	0.418283732613126	0.345806419242025	0.0437431661922829	4.29637370910243e-05	8.66339977478512e-17	0.382316330380227	0.378272204669234	0.00933009463665737	2.34253721559396e-05	0.117769009975653	0.0278107989719697	0.407132750525539	1.76428386181225e-05	0.274765123216031	6.75310058142667e-05	0.0203175751728876	1.52296814214043e-09	0.176640823105043	0.0233213617350802	0.000788849959528164	0.155462445744468	0.5	2.06592301287445e-16	2.89883642252847e-08	0.490543472303178	0.164694338962236	0.00227473047208526	0.419418383715642	2.09482000526701e-06	4.25408120992349e-05	0.0119579882906393	0.264408041020943	0.1229371078131	0.454022682898684	0.4420396770744	1.9422378657489e-08	0.00557057906903626	0.452824426048811	2.34253721559396e-05	0.117769009975653	0.0844331979215502	1.81643282218609e-06	0.452824426048811	0.407132750525539	0.00123638813576596	0.000138655125575448	6.11333425529599e-14	0.341850280271457	1.36303294211957e-27	0.199777424365909	0.172205837973912	0.00131953105554762	6.51863519476814e-33	0.0444511695646435	0.337178222856374	9.89074094795407e-06	4.44359817187836e-14	0.312097500915324	0.011244916899485	0.000788849959528164	0.00397907719071699	0.00143365661438704	0.0182137294617057	9.93833860117004e-05	0.264408041020943	0.0872790455512347	0.155462445744468	0.0643119114276598	0.378272204669234	0.011244916899485	0.485607685183358	0.00261762344814285	0.0955556140192321	1.11329191652721e-35	0.430034862495885	3.32121658005925e-19	0.437347028339866	0.452824426048811	0.387913975981249	0.00815934347941405	4.19266494099531e-24	8.65488705316127e-06	0.000106165297926047
RS4	0.00185876157647249	0.346640432869067	1.31300982234061e-06	6.89311905338497e-08	0.303478844716583	0.00576760739275475	0.0806057226704012	0.000114842741101358	0.00185876157647249	0.00419240157828289	0.00291590332317515	0.0593411444450795	0.000114810006662072	0.243470758853967	0.117563950410265	0.476301060089357	0.34358552367664	0.356681493952264	0.000623027884701397	0.385480407782507	0.0189036923881905	0.000133896663851391	0.0738712726052975	2.56573034690046e-06	0.385459619011788	0.101649167600094	0.00458814687932018	0.311197128466234	0.0282815476896492	0.268102850681438	1.31300982234061e-06	0.219756276809575	0.476301060089357	0.0394935156112399	0.268582214278656	0.28517403053472	0.16653035314192	0.0820191634540345	0.16653035314192	0.00099237324966816	0.438889482287445	0.308511893254641	0.152151193535038	5.71434897439736e-26	5.13483993270879e-17	0.0142883463720618	0.476301060089357	0.0897480196017938	0.0275697955422769	0.125393940591482	0.327352546688387	0.00534581171360258	0.000231247306620998	0.0140786896942136	0.00260813313230108	0.0820191634540345	1.94168031582691e-06	0.0897480196017938	0.0737082121344955	0.0616768420729198	0.00626295645117319	0.0248852495414331	6.3359624002915e-19	3.03484083857576e-07	0.0664814319523166	0.364678129108949	0.000967266207574843	0.148824997222483	9.55123687485538e-15	4.00071089294932e-06	0.0394935156112399	0.489584393598378	0.000972672552038596	0.256345264386348	0.434981636760051	4.57484065094977e-08	0.440289883096602	0.449027261667617	0.403450461774535	0.155711598649536	0.0198837360263721	0.219756276809575	0.132649570933626	0.327570059046352	1.01517088357095e-10	0.00158106411257399	4.0153722983227e-29	0.364678129108949	6.29488637737272e-08	0.34358552367664	0.445110722787851	0.356681493952264	6.3359624002915e-19	0.487075124153645	0.217917228987182	1.43266212782718e-10	3.70340318216186e-07	0.00262073885334977	0.208747742269378	0.000353978529274418	0.000623027884701397	8.0095980654808e-07	1.94168031582691e-06	0.00114505298869955	0.385459619011788	0.127788171063334	0.0248852495414331	0.476301060089357	0.225265620407679	0.00240395210735399	0.455735179364595	5.56299120165217e-05	0.16653035314192	1.3541760861083e-27	0.364678129108949	5.05680950611112e-07	0.445110722787851	0.299162446360092	0.243470758853967	0.00010397557168352	1.01517088357095e-10	0.0011409941593451	0.155711598649536
B.GOS	0.430908798568379	5.63239801708569e-20	1.54776680990279e-09	0.00028831309510246	5.25670878405592e-18	0.0261049623299788	0.0379914087876125	0.0146286979504022	0.0310072394705256	0.000915186976089744	0.0662648609080886	0.453538799179904	0.389674421138773	0.450286189240345	0.00160141535276213	0.00818139547501494	0.0296108579353414	0.123728756538615	1.09769594089054e-12	2.7462712457316e-05	0.000572062535337595	2.36377960277442e-08	0.0446330882897627	5.86684507549713e-06	2.36765189826475e-13	0.353104716549729	0.000190289681405964	0.067740282615672	0.0310072394705256	2.489190091822e-19	1.94569882963007e-07	0.339654264054843	0.0124459052781984	8.04786887629957e-07	0.352594786019726	0.493067074709096	0.0756726208215475	2.4655638237437e-12	0.247993962326355	0.353104716549729	0.0756726208215475	6.17306422975402e-10	0.339081816021468	0.352594786019726	0.358686374910671	6.59870834414465e-05	0.000355121037967093	0.363160421481397	0.44040503619179	0.333441583848893	2.14853687477591e-16	6.66449685077364e-07	0.229693125257018	2.10328191661559e-07	0.278411868533295	0.0151902888401997	4.20152003260623e-11	0.349267386801716	0.0714462955746674	0.234188455668059	0.247993962326355	0.00100338625520482	0.00473090709169034	0.000915186976089744	0.0109122632964472	0.0128681536026168	0.344980226347151	3.92908897541032e-08	0.247993962326355	3.63071363781955e-10	0.0235891826716839	0.328040545042976	1.69482230926085e-05	0.158158663784608	0.144940998935294	0.0759832288412534	0.408214767792301	1.44589881265511e-17	0.00121377854290355	2.0269788489823e-07	6.11810257504837e-25	0.0157660528242505	0.000166387955463134	6.54151360482623e-05	0.00556185166912612	0.000139254011098162	0.11888752745991	3.40527609354604e-11	0.000381684996698975	4.30362089566245e-06	0.0370186875761248	0.0756726208215475	4.3749249507001e-05	0.493067074709096	0.235277074752023	0.00848686359424392	0.0424606265661836	0.0729687238446753	1.00330402788077e-05	9.13270321203791e-11	6.22154507789385e-08	0.37213600366784	0.200441800943254	2.45187636233661e-11	0.234188455668059	0.339081816021468	0.321627953549939	0.234188455668059	0.067740282615672	5.15884840822123e-07	0.149532572303594	0.024975920073333	3.49446069276738e-17	0.355541956463472	0.00141374379715383	0.493067074709096	4.69223744804903e-06	0.44040503619179	0.143766069433349	2.0269788489823e-07	3.81907005584597e-06	0.200441800943254	0.0514697885434882
FOS	0.462358153110325	4.09020199865283e-13	0.435516139331473	0.413530435714498	2.4344934694036e-27	0.015337184377229	0.30782015999501	0.498969807526326	0.293982576354019	0.0268849354583131	0.276131259787769	0.0364741480636858	0.435516139331473	1.48534519764432e-05	0.171641091287838	9.2796211603931e-10	0.482164384381626	0.0405829063670982	0.435516139331473	0.00138677061750337	0.000463474147917077	0.000566818433411378	0.000115213943616732	1.18950935758888e-05	0.0880190439164773	0.251179516556573	0.0835147992898601	0.467578213181663	0.000299558079864787	2.44943701374657e-14	0.0739834250916749	0.467578213181663	7.88086887284813e-06	0.000787366833927856	0.462358153110325	0.240445046818139	0.00339411817029249	3.40355864782749e-05	0.440117401174927	0.042469470539727	0.0251133219965486	0.0609644841450743	0.482164384381626	0.00597991330762402	2.46666913320521e-14	0.0863778207601444	9.50254007193479e-14	0.00222077042979719	0.374007440274028	0.0863778207601444	0.212532006550541	6.68110289675059e-05	0.0214373830808411	0.00751987275418049	0.145715485644883	0.00171268109330645	6.8892382796834e-13	1.86874107626988e-07	0.000468729397263852	0.348022113923214	0.462358153110325	0.0417144789446799	0.423440083712827	0.478030709757786	0.0708231314564374	1.28267403264454e-09	0.475711126689268	0.439229597724366	0.478030709757786	0.0476000465260287	0.171987242300024	0.493565249986879	0.00086448184296211	0.475711126689268	0.497727652621218	0.0739834250916749	0.498969807526326	2.02152898288879e-33	0.498969807526326	2.34687172526031e-17	5.230134533002e-34	0.423440083712827	0.482164384381626	7.9937604988319e-06	0.493565249986879	0.0768344498864465	0.478030709757786	2.46666913320521e-14	0.462358153110325	0.168644588728723	1.11919559286758e-14	0.0384479050716373	0.498969807526326	0.0458143175196972	0.0976035263971672	0.000323399571454446	6.0601575944024e-06	0.493565249986879	6.0601575944024e-06	0.195956275088185	0.397721757363605	0.276131259787769	0.00086448184296211	5.57062198692814e-29	0.423440083712827	0.015337184377229	0.478030709757786	0.019573379761329	0.0258560117981185	0.202962145564812	6.13218770274679e-20	0.147587107992236	1.17100077722333e-34	0.499549889221697	0.493565249986879	0.498969807526326	0.000566818433411378	0.423440083712827	0.1517955029441	3.32089303708196e-10	0.499549889221697	0.171987242300024	0.000566818433411378
WG	0.334797105838785	0.000325974234833549	0.245599091984704	0.0736652496195792	1.26673672767169e-14	0.248962603064703	0.293235023701409	0.348275326197054	2.77502601399009e-05	0.326224868879454	0.373040391534932	0.00106669754890202	7.27341909776182e-05	0.00151731181485481	0.0346003618146965	0.0101034090721727	0.149896908294375	0.151267373504372	0.00151731181485481	8.62087672341052e-06	0.348275326197054	0.373040391534932	0.453323261961438	3.10984960713085e-05	0.430889240194457	2.84913337253471e-06	0.00117264356847531	0.00222305452136459	0.349146228642249	7.88185156194899e-09	3.10984960713085e-05	6.4228067537608e-06	0.0707945530632574	0.00452719627846996	0.0862680117660884	0.151267373504372	0.132476601426989	0.417213819412617	0.130022413818983	0.417213819412617	0.117695926002071	1.26229482838347e-08	0.417213819412617	0.0862680117660884	0.0266687758254767	0.0403038481022177	0.00324850954196671	0.0170467265354194	0.161948984224639	0.103105442587087	0.0185453802063924	0.00222305452136459	0.01612084927472	0.0211279506123699	0.37329469414461	0.0361607063688043	2.09908922633831e-14	0.149896908294375	2.77502601399009e-05	0.00460460089046243	0.414810301537239	0.309316158343076	0.407737437927373	0.137752639724159	0.461572475970333	0.415775419112548	0.457931157592219	0.00678922209589185	0.224763759808877	0.262217829394791	0.245599091984704	0.224763759808877	0.000379127066004513	1.14959757661172e-05	0.373040391534932	0.407039883934063	0.0846644129022993	1.78604508812901e-07	0.0516361286672451	6.97391960886067e-08	2.30284032155286e-12	0.19397007269383	4.83821260499506e-27	0.224763759808877	0.222833940721936	0.0493957550366839	6.96737563866639e-07	1.33730908556411e-05	0.320408895041448	0.39573922546008	0.417213819412617	0.00372588689994649	0.102900214809734	0.429249712483644	0.00678922209589185	0.0312681455020928	0.191037578720163	0.224763759808877	0.0191821045993051	0.491891475700412	0.429249712483644	0.417213819412617	0.37329469414461	1.52148420705285e-07	0.417213819412617	0.417213819412617	0.0170467265354194	0.32038855347197	0.0185453802063924	0.265797111350311	2.24445127297567e-05	4.65988199181103e-18	2.11486113785294e-10	0.0846644129022993	0.417213819412617	0.149896908294375	0.0602205328433782	0.0160569591822181	0.0445708195148255	0.0258398689785758	0.429615497918293	0.00117264356847531	0.0160569591822181
β.glucan	1.87054443844272e-19	0.485412982977167	0.481420208118916	0.481420208118916	0.481420208118916	0.00819658724673427	0.0838759298096642	0.481420208118916	0.481420208118916	0.481420208118916	0.111101327434891	0.481420208118916	0.481420208118916	0.481420208118916	0.481420208118916	0.495606797651904	0.481420208118916	0.481420208118916	0.481420208118916	3.18229681380523e-05	0.481420208118916	0.481420208118916	0.481420208118916	0.481420208118916	0.498336978866516	0.481420208118916	0.108583602178521	0.481420208118916	0.481420208118916	0.481420208118916	0.35658453209912	0.481420208118916	0.0143724413866566	0.218637057260252	2.52239768803338e-09	1.09855765657653e-10	0.481420208118916	0.481420208118916	5.49909721267547e-15	1.22664552821458e-06	0.481420208118916	0.481420208118916	0.481420208118916	0.385335301820521	0.481420208118916	0.481420208118916	0.481420208118916	0.0348440715339762	0.000690055921372902	0.481420208118916	0.0838759298096642	0.481420208118916	0.481420208118916	0.481420208118916	0.481420208118916	0.481420208118916	0.00449933551899649	0.108583602178521	0.481420208118916	0.481420208118916	0.481420208118916	0.5	0.318921916567547	1.51386888536524e-37	0.481420208118916	0.00449933551899649	0.00305210301276694	0.00369800606077162	0.136503333334328	0.012886181058532	0.481420208118916	0.481420208118916	0.481420208118916	0.5	0.481420208118916	0.481420208118916	0.481420208118916	0.481420208118916	0.481420208118916	0.00494319716650805	0.481420208118916	0.481420208118916	0.481420208118916	0.481420208118916	0.481420208118916	0.481420208118916	0.481420208118916	0.481420208118916	0.481420208118916	4.6282299901162e-18	0.481420208118916	0.185457857677041	0.481420208118916	0.481420208118916	0.373884305204585	0.481420208118916	0.481420208118916	0.00305210301276694	0.0443980988149423	0.481420208118916	0.0838759298096642	0.481420208118916	0.481420208118916	0.481420208118916	0.481420208118916	0.481420208118916	0.35658453209912	0.481420208118916	1.9013142093718e-07	0.022351919642647	0.481420208118916	0.481420208118916	0.481420208118916	0.481420208118916	0.200518025157711	0.481420208118916	0.481420208118916	0.481420208118916	0.35658453209912	0.481420208118916	2.25210589330764e-05	0.0174851953845198	0.48599777039766
