HDF	Agave.inulin	PDX	SCF	RW	RS4	B.GOS	FOS	WG	β.glucan	ITFs	GOS	RS	DF	Avocado	RMD	AXOS	MSPrebiotic	RS2	RG	Walnut	RPS	PCS	PPB	XOS	KGM	Inulin	LKFibre	JA	CH	PHGG	VLCI
HDF	1	0.694583632623925	0.289214334835192	0.51843966766563	0.417253525088547	0.613674356476754	0.0031900042551437	0.0968558977085223	0.0022067002037848	-0.0929069806681434	0.234985908258658	0.102148183623982	-0.143973841550717	0.0237385955322233	-0.209789949422746	0.00630460089116265	-0.289167336129849	0.00170031510165791	-0.896673192278294	-0.598703367767372	-0.2783640889086	0.00641902102807932	0.00744245160338672	0.00744245160338672	0.142535748459235	0.0487853702142723	0.00294510376230821	0.138909615852496	0.0199800847230983	0.0199800847230983	-0.0855130762874308	0.00650650651819424
Agave.inulin	0.694583632623925	1	0.141204937056333	0.316382707378459	0.113200154500872	0.0803683756189452	0.0338542778688248	0.078020220161254	0.00978970872549296	-0.00482236786923177	0.157164748432342	0.18201559479415	-0.219121287326104	-0.0393801627931627	-0.00142075194615404	0.0519906692388919	-0.00504731483080219	0.00241453128364239	-0.509324355472267	-0.093028830514516	0.0607846086043182	0.0605448908588804	0.0970146719622721	0.0970146719622721	0.323666435407576	0.194224357588583	0.281126227839182	0.518900995575588	0.289608373795808	0.289608373795808	-0.0869232599311393	0.0395946758037906
PDX	0.289214334835192	0.141204937056333	1	0.704630815023699	0.471244837871322	0.42358555929816	8.68220894006272e-05	0.059945790218895	0.315578097483688	-0.00752725119569694	0.0623496298506859	0.0845361465795776	0.00743273038907299	0.070458459504111	-0.0193185245284479	0.0823910767998098	-0.107020469357664	-0.0892279471324071	-0.208614891238862	-0.143047460119417	-0.00119185960386444	-0.0136120828609949	0.0791191258345343	0.0791191258345343	0.139620116383468	0.171591157753649	-0.0316876635626463	0.0776819288638097	0.0116656256526103	0.0116656256526103	-0.0439851919294728	-0.0414558415813314
SCF	0.51843966766563	0.316382707378459	0.704630815023699	1	0.610501122626341	0.494570445579572	-0.0353798796176926	0.130272512885332	0.0517852387911013	-0.0503616566171607	0.144038278951877	0.0905048405734765	-0.0132075447808941	0.119497945707165	-0.0324238127435243	0.214861366891508	-0.00682702999435211	-0.0320578953283373	-0.236246366541493	-0.250120701579449	0.274384364423958	-0.00171498247967255	0.0438183160046218	0.0438183160046218	0.134576154590402	0.124496222588005	0.00263785448836089	0.0846371253826745	-0.018747924719915	-0.018747924719915	0.00504335963753345	-0.059483049975955
RW	0.417253525088547	0.113200154500872	0.471244837871322	0.610501122626341	1	0.806697129532154	-0.117578345731589	-0.00453858094263563	0.072843324517971	-0.00586919037406755	0.0116733668401476	0.0142616879945703	0.0117094553078202	0.427853445552842	0.0763676090250587	0.370936287747667	0.0145608857216224	0.180520575770404	-0.232967857824064	-0.148902639103464	-0.0939571778200325	-0.130813013077808	-0.0138522383763203	-0.0138522383763203	0.00793264220535098	-0.00490296185938783	0.112984401236101	0	-0.556179255819521	-0.556179255819521	-0.570553493205255	-0.441150468039692
RS4	0.613674356476754	0.0803683756189452	0.42358555929816	0.494570445579572	0.806697129532154	1	0.0376006263094603	0.0479635089327862	0.00171125474036932	-0.00136502899738914	0.072196691732983	0.0272487123669775	0.00446679401343688	0.233964189153559	-0.0802427789250251	0.322282630329282	0.0317266948707119	0.00275635948641429	-0.186151171870389	-0.279279915047601	-0.419628689300355	-0.0274674342164753	0.00731625736036914	0.00731625736036914	0.107530779907317	0.0536880902267944	0.0438436235531934	0.0914969565021164	-0.0413277461734285	-0.0413277461734285	-0.0848336698582201	-0.0226425445065884
B.GOS	0.0031900042551437	0.0338542778688248	8.68220894006272e-05	-0.0353798796176926	-0.117578345731589	0.0376006263094603	1	0.431459605668715	0.322753046689062	0.000734525780562018	0.0100198609912368	0.0645415151491823	0.239353487620914	0.202014706298225	0.348116736540701	-0.0608623491437156	0.315497079884401	-0.208347115863409	0.0639207605889918	0.0433301139519818	0.0450015089865617	0.124760593084741	0.0889363708999026	0.0889363708999026	0.0359953559234488	0.110251805855512	0.0595686476667285	0.136252617823172	-0.487905203633864	-0.487905203633864	-0.107390607115807	0.0194780079851446
FOS	0.0968558977085223	0.078020220161254	0.059945790218895	0.130272512885332	-0.00453858094263563	0.0479635089327862	0.431459605668715	1	0.215966304497343	0.000812619008240626	0.0100703879713049	0.0853395824781888	0.00318684959112106	-0.0176323543240125	-0.00163910599563483	0.0143305856404283	0.0536226194389938	-0.0607891890154306	0.0187810426025754	0.0100251974359133	0.0348177815611166	0.00582134829073523	0.0763760353613018	0.0763760353613018	0.149785216756675	0.174668315020196	0.0295767069034527	0.078815237487525	0.0101175033216761	0.0101175033216761	0.00951997338683187	0.0532845835487867
WG	0.0022067002037848	0.00978970872549296	0.315578097483688	0.0517852387911013	0.072843324517971	0.00171125474036932	0.322753046689062	0.215966304497343	1	0.000973132944418953	0.000671479913940836	0.0551392211591322	0.00172605345895288	0.0282248870748964	0.0372091622862411	-0.0178420004840762	0.147118827050313	0.00174730395640967	0.0777991799663063	-0.372308317892977	0.00913182750456798	0.0032215538203957	0.0745808243978014	0.0745808243978014	0.116803161188974	0.14811565492544	-0.00469442024787742	0.0373608692477742	-0.172216752102386	-0.172216752102386	0.0280237741461997	0.0242071006275587
β.glucan	-0.0929069806681434	-0.00482236786923177	-0.00752725119569694	-0.0503616566171607	-0.00586919037406755	-0.00136502899738914	0.000734525780562018	0.000812619008240626	0.000973132944418953	1	-0.00124731137063877	0.000637049578774137	-0.00182813467637973	-0.00224201743300531	-0.00105505318617516	0.000711770563878708	0.00438516118038077	0.00169064461716243	0.145841436341485	0.0274718413687033	-0.195421391362178	0.00592561687629813	0.00255567327461077	0.00255567327461077	0.00405427730320684	0.00453442738333994	0.00188749673037712	0	-0.00183764522328932	-0.00183764522328932	0.000303248689282342	0.00121354308518199
ITFs	0.234985908258658	0.157164748432342	0.0623496298506859	0.144038278951877	0.0116733668401476	0.072196691732983	0.0100198609912368	0.0100703879713049	0.000671479913940836	-0.00124731137063877	1	0.033755461053917	-0.0349320833097437	-0.0122007807618909	0.00102551032135037	-0.0708675561791081	-0.0245202774633559	0.000806585906026926	-0.0946982655174254	-0.0432832195391982	-0.00577863640450968	0.00265469647786087	0.00409574691255707	0.00409574691255707	0.0458050426416224	0.0366210398814036	-0.000796093617080242	0.123889157327879	0.0125841677413934	0.0125841677413934	0.00104131047509775	0.00576548593274018
GOS	0.102148183623982	0.18201559479415	0.0845361465795776	0.0905048405734765	0.0142616879945703	0.0272487123669775	0.0645415151491823	0.0853395824781888	0.0551392211591322	0.000637049578774137	0.033755461053917	1	-0.00134776085951047	-0.0649792144973293	-0.00329034872260691	0.0381232199705941	0.147366903741308	0.0397549549238198	-0.0357220575040815	-0.0160096103133515	-0.00427011102128678	0.00126076201691191	0.162548078557	0.162548078557	0.323378932673525	0.339483431254575	0.114487577140679	0.189280207599932	0.0597238340825844	0.0597238340825844	0.22028067711283	0.0980660034637247
RS	-0.143973841550717	-0.219121287326104	0.00743273038907299	-0.0132075447808941	0.0117094553078202	0.00446679401343688	0.239353487620914	0.00318684959112106	0.00172605345895288	-0.00182813467637973	-0.0349320833097437	-0.00134776085951047	1	0.374882655744617	0.260837831138784	0.0178282989674794	0.224374089453884	-0.143577851302285	0.214423070136309	-0.360942628792687	0.0497789563890171	0.0209518833026732	0.00130718954494954	0.00130718954494954	0.0755695006729184	0.0358978872427315	0.0687237810218351	0.0332530710719525	-0.123576522151723	-0.123576522151723	0.0190310964313476	-0.0121761774738324
DF	0.0237385955322233	-0.0393801627931627	0.070458459504111	0.119497945707165	0.427853445552842	0.233964189153559	0.202014706298225	-0.0176323543240125	0.0282248870748964	-0.00224201743300531	-0.0122007807618909	-0.0649792144973293	0.374882655744617	1	0.208489373325064	0.193126805918591	0.122924756763374	0.103358781632176	-0.0870211499436464	-0.204584700821104	0.0426299166746478	-0.148797735970223	-0.0385770508348323	-0.0385770508348323	-0.157854815773658	-0.173377428668119	0.0936958476892808	-0.132738619304077	-0.511049147570805	-0.511049147570805	-0.638475923271901	-0.751452979916558
Avocado	-0.209789949422746	-0.00142075194615404	-0.0193185245284479	-0.0324238127435243	0.0763676090250587	-0.0802427789250251	0.348116736540701	-0.00163910599563483	0.0372091622862411	-0.00105505318617516	0.00102551032135037	-0.00329034872260691	0.260837831138784	0.208489373325064	1	0.426455633449815	0.285581666429022	0.160503953193155	0.090759696128799	-0.0450137222744604	0.0474952976485393	-0.00853755457970067	-0.00418757394029827	-0.00418757394029827	-0.0192667939937034	-0.0276833229795326	0.189697717195651	0	-0.855519616767349	-0.855519616767349	-0.0488189298057479	-0.259376311355524
RMD	0.00630460089116265	0.0519906692388919	0.0823910767998098	0.214861366891508	0.370936287747667	0.322282630329282	-0.0608623491437156	0.0143305856404283	-0.0178420004840762	0.000711770563878708	-0.0708675561791081	0.0381232199705941	0.0178282989674794	0.193126805918591	0.426455633449815	1	0.27554154644826	0.00550199921770021	0.0525708054212001	0.0242306366191754	-0.00778861721020902	0.0124627849876962	0.0112575229648723	0.0112575229648723	0.0465134956076463	0.0391167987763355	0.597664472526342	0.159193378146328	0.118126160237009	0.118126160237009	-0.0405248027527762	-0.220886063426847
AXOS	-0.289167336129849	-0.00504731483080219	-0.107020469357664	-0.00682702999435211	0.0145608857216224	0.0317266948707119	0.315497079884401	0.0536226194389938	0.147118827050313	0.00438516118038077	-0.0245202774633559	0.147366903741308	0.224374089453884	0.122924756763374	0.285581666429022	0.27554154644826	1	0.530078555444157	0.095882458835931	-0.26551739144242	-0.0343499680990583	-0.0429035041368691	0.193943427279526	0.193943427279526	0.260757382463165	0.270250869533455	0.0913614431664839	0.158949632365939	-0.388054933351174	-0.388054933351174	-0.0229508976644187	-0.101892130833824
MSPrebiotic	0.00170031510165791	0.00241453128364239	-0.0892279471324071	-0.0320578953283373	0.180520575770404	0.00275635948641429	-0.208347115863409	-0.0607891890154306	0.00174730395640967	0.00169064461716243	0.000806585906026926	0.0397549549238198	-0.143577851302285	0.103358781632176	0.160503953193155	0.00550199921770021	0.530078555444157	1	0.0721734289840845	-0.275888651048671	-0.00236900912835275	0.00247170717115327	-0.0388147243295456	-0.0388147243295456	-0.0929746850437346	-0.115003890855657	-0.00148520448926942	0.0567193451341911	0.00262128588260165	0.00262128588260165	-4.46047593658565e-05	-0.12526074707993
RS2	-0.896673192278294	-0.509324355472267	-0.208614891238862	-0.236246366541493	-0.232967857824064	-0.186151171870389	0.0639207605889918	0.0187810426025754	0.0777991799663063	0.145841436341485	-0.0946982655174254	-0.0357220575040815	0.214423070136309	-0.0870211499436464	0.090759696128799	0.0525708054212001	0.095882458835931	0.0721734289840845	1	1	0.213709172827504	0.744417970550748	0.0930288305145159	0.0930288305145159	-0.283405897481396	-0.152547591844614	0.0485736153310282	0	-0.309162433276051	-0.309162433276051	0.10621537855111	0.0441740715118023
RG	-0.598703367767372	-0.093028830514516	-0.143047460119417	-0.250120701579449	-0.148902639103464	-0.279279915047601	0.0433301139519818	0.0100251974359133	-0.372308317892977	0.0274718413687033	-0.0432832195391982	-0.0160096103133515	-0.360942628792687	-0.204584700821104	-0.0450137222744604	0.0242306366191754	-0.26551739144242	-0.275888651048671	1	1	0.598703367767371	0.350085237846729	0.263721405819493	0.263721405819493	0.275933550388939	0.324075912486293	0.0598457411006686	0	-0.0484186503893085	-0.0484186503893085	0.134272080241843	0.0556422297969313
Walnut	-0.2783640889086	0.0607846086043182	-0.00119185960386444	0.274384364423958	-0.0939571778200325	-0.419628689300355	0.0450015089865617	0.0348177815611166	0.00913182750456798	-0.195421391362178	-0.00577863640450968	-0.00427011102128678	0.0497789563890171	0.0426299166746478	0.0474952976485393	-0.00778861721020902	-0.0343499680990583	-0.00236900912835275	0.213709172827504	0.598703367767371	1	0.166639242143184	-0.00859007954310848	-0.00859007954310848	-0.253278998135981	-0.164736044124564	0.0338408741676721	-0.112026252277522	-0.19405951346122	-0.19405951346122	0.202924665831221	-0.0104678135668347
RPS	0.00641902102807932	0.0605448908588804	-0.0136120828609949	-0.00171498247967255	-0.130813013077808	-0.0274674342164753	0.124760593084741	0.00582134829073523	0.0032215538203957	0.00592561687629813	0.00265469647786087	0.00126076201691191	0.0209518833026732	-0.148797735970223	-0.00853755457970067	0.0124627849876962	-0.0429035041368691	0.00247170717115327	0.744417970550748	0.350085237846729	0.166639242143184	1	0.00922737159985334	0.00922737159985334	-0.00595116590769289	0.000772759675211644	0.292932996069761	0.353034456913219	-0.321657512971942	-0.321657512971942	-0.0944018949538147	0.0137860175246878
