Disease	Dimension 1	Dimension 2	Dimension 3	Dimension 4	Dimension 5	Dimension 6	Dimension 7	Dimension 8	Dimension 9	Dimension 10	Dimension 11	Dimension 12	Dimension 13	Dimension 14	Dimension 15	Dimension 16	Dimension 17	Dimension 18	Dimension 19	Dimension 20
Brain_Damage	1.45186442	-1.777233367	2.247016482	-0.049702038	0.828663438	-0.363554459	-1.132692578	1.472669735	0.076007263	0.175347416	-0.219703483	-0.454087819	0.732211928	-0.318150985	0.544046963	-1.252139674	-0.585946237	-0.043830011	-0.057962502	0.005572211
Pancreatic_Disease	-1.798211224	-1.465928589	1.277915434	0.075405557	-0.778463157	-0.809648831	1.014366858	0.588562256	1.114122927	0.104344956	-2.337924202	0.164930933	-0.460674672	-0.752177154	0.575065462	1.211848916	0.485121321	-0.556611124	-1.128900167	-0.014008254
Growth_Hormone_Deficiency	1.519313385	-0.654132996	1.697658034	3.104232996	-0.281095078	-2.580798819	-0.904304316	-0.484477207	-0.359811816	-1.008128747	3.482167495	0.418522084	0.013195803	-0.202643745	-0.518715907	-0.035321593	0.494988722	0.166505958	0.724890249	-0.011399669
Hyperaldosteronism	-1.798792638	-2.652050915	0.8413873	4.058949093	1.368555571	-0.432397371	-1.889135976	-0.463863983	-0.481503656	-1.279244235	-0.761321489	-0.175447988	0.111229832	0.784864677	-0.210166465	-0.053017333	-0.125341745	-0.683185531	-0.240988705	0.008852845
Type_II_Diabetes_Mellitus	-0.093553337	0.667640893	0.215705898	-0.372897146	0.604896362	1.270917798	-0.512906337	-0.248398134	0.07291776	-1.548730075	-1.143422522	0.030875293	-0.518116366	-0.605550118	-0.737379006	2.126383322	1.28620033	0.098727765	0.429420952	0.003773123
Unspecified_Diabetes_Mellitus	0.466336422	0.165472269	0.661009831	-0.672042824	0.870663963	2.579962433	-0.901957417	-0.994504062	-1.05304699	-0.88588944	-1.196771462	0.664787125	-0.617574342	-1.506889891	-0.368051563	2.73953645	0.781238106	0.107866927	0.360511207	-0.008741101
Huntingtons_Chorea	-0.61833901	-1.062037277	0.699848493	-2.363551469	-2.905213191	0.096486039	-0.935170821	0.533132968	1.671719624	-0.364028128	0.097726212	-2.347236541	0.642493933	-0.171474899	-0.053344266	-0.596268303	-0.10882512	-0.51830231	-0.905240205	-0.013018335
General_Thrombocytopenia	-1.200395999	1.132554664	1.271921297	1.081827584	-0.084168275	-0.261800699	-1.246659326	0.057979161	-0.106101688	1.509229755	-0.036752328	-1.674631005	0.122293419	-0.077812644	1.553545043	-1.292851238	1.059920286	0.544983166	0.195517489	0.010339323
Hereditary_Hemoglobin_Disease	1.431187683	1.226678191	2.52663368	0.845577914	0.090430706	2.145253689	1.503099101	-0.025495514	0.271386827	0.491580269	-1.176993806	1.474892751	-1.372178852	0.200199409	0.236974274	-0.988232276	0.499646769	0.429204176	-0.938306823	0.002998849
Non-Specific_Anemia	-1.1202412	0.812560831	-0.097176346	1.089054556	1.161393946	1.621877946	0.544803506	-0.12743229	0.394744922	1.374846011	-0.30236344	0.49614921	-0.72417937	0.054784898	-0.113060735	-0.272220854	0.406497038	0.209228104	0.658678784	-0.009047259
Purpura_Other_Hemorrhagic_Conditions	-1.021130874	0.759253911	-0.021143602	0.853194538	1.674240028	0.916496327	0.019694174	-1.269481634	-0.487401147	0.063981924	1.900188861	-1.07745778	1.958245577	-0.182576193	-0.240982143	-2.233922709	0.702794954	-0.069956518	-0.344233857	0.006185416
Spleen_Disease	-1.436253801	0.39579441	1.559062294	0.679166459	-0.02521245	-1.838734087	1.283385711	0.104276173	-0.154394726	1.173500261	-1.330497538	-0.561618549	0.027307142	0.042795068	0.562376831	0.345740321	-0.253948829	0.091594418	-0.096819646	-0.003773841
Motor_Neuron_Disease	0.330009578	-2.999106713	1.458765141	-2.176548533	-1.160852082	0.79550547	0.77641633	-0.869970382	-0.168734335	0.843070068	1.059987168	-0.19274583	1.22076853	0.248509349	0.044331655	0.119599393	-0.773732966	0.098605742	-0.826761719	-0.005002617
Biliary_Tract_Disease	-1.496491476	-0.440020462	-0.110241216	-0.185629228	-0.008283669	-1.120777013	1.494630609	0.762038364	0.852416378	0.147047238	-1.496054423	0.422831316	-0.693786456	-0.540121345	1.300134091	0.373117235	0.209765384	-0.752693969	-1.151527299	-0.001932606
Chronic_Liver_Disease	-1.712834633	0.301703138	0.925941963	0.512443964	-0.749731575	-1.632697903	0.386882672	0.528804305	0.20479561	0.496636324	-2.441363383	0.197532455	-0.291420994	0.666954143	0.131568041	0.919372523	0.630725493	0.020802473	-0.412054722	-0.000248141
Non-Specific_Liver_Disease	-1.433261583	0.184553739	-0.045940951	0.54184228	0.048863413	-2.354374222	0.623845711	0.435142299	0.397763865	1.086542777	-1.564480341	0.121478699	-0.266069664	-0.081644591	0.86431298	0.323827717	-0.10781933	0.456296454	-0.535496759	0.005156716
Allergic_Rhinitis	1.410357394	-0.688669902	-2.204289411	1.062590783	-1.347409668	0.275311912	1.909611878	-1.165897275	0.690080747	-1.666785475	0.412726218	0.997717702	1.255157704	0.28496585	-0.375460698	-0.522878288	0.292656607	0.145503307	-0.444810968	-0.005121366
Asthma	1.306312922	-0.451744674	-0.937531063	0.197342006	-1.300766192	-0.426391833	2.59912182	-1.261306781	0.99417504	-1.15395114	-0.373058177	0.968981719	0.780587153	-0.294637541	-1.421073526	-0.896780235	0.919283332	-0.349890298	-0.009918647	0.004860305
Atopic_Contact_Dermatitis	-0.194371996	0.915290418	-1.64340618	-0.249769979	-0.861182018	-0.040748161	-0.050141032	-1.099748047	-0.184400174	-0.216845793	0.707369989	-0.065261461	0.08094868	0.084056027	-0.034883611	-0.797850422	-0.298649535	-0.655613481	0.266864025	-0.002213809
Autoimmune_Lymphoproliferative_Syndrome	-1.387678	1.067900543	0.108463656	1.001542586	-0.800108738	0.618249039	-0.087439567	0.16825646	0.303622708	0.180676396	0.239984817	0.13144519	-0.261746675	0.269008708	-0.237433755	0.024673813	0.02028756	0.20646407	0.085755999	0.009831441
Autoimmune_Polyglandular_Disorder	-0.672267982	-0.052936531	-0.217693379	1.340456855	-0.224064446	0.49919918	0.055868507	0.224945025	0.320004572	-0.7635634	0.212122294	-0.48074508	-0.101565977	0.03525179	-0.129375224	0.259633297	0.153907813	0.128678094	0.017567747	0.008548431
