ID	Class
Brain_Damage	CNS
Pancreatic_Disease	Digestive
Growth_Hormone_Deficiency	Endocrine
Hyperaldosteronism	Endocrine
Type_II_Diabetes_Mellitus	Endocrine
Unspecified_Diabetes_Mellitus	Endocrine
Huntingtons_Chorea	CNS
General_Thrombocytopenia	Hematologic
Hereditary_Hemoglobin_Disease	Hematologic
Non-Specific_Anemia	Hematologic
Purpura_Other_Hemorrhagic_Conditions	Hematologic
Spleen_Disease	Hematologic
Motor_Neuron_Disease	CNS
Biliary_Tract_Disease	Hepatic
Chronic_Liver_Disease	Hepatic
Non-Specific_Liver_Disease	Hepatic
Allergic_Rhinitis	Immune
Asthma	Immune
Atopic_Contact_Dermatitis	Immune
Autoimmune_Lymphoproliferative_Syndrome	Immune
Autoimmune_Polyglandular_Disorder	Immune
Behcets_Syndrome	Immune
Chronic_Sinusitis	Immune
Chronic_Tonsillitis_Adenoiditis	Immune
Common_Variable_Immunodeficiency	Immune
Congenital_Neutropenia	Immune
Parkinsons_Disease	CNS
Cystitis_Urethritis	Immune
Eye_Inflammation	Immune
Familial_Mediterranean_Fever	Immune
Gastritis_Duodenitis	Immune
Graves_Disease	Immune
Crohns_Disease	Immune
IBS	Digestive
IgA_Immunodeficiency	Immune
Inflammatory_Spondylopathies	Immune
Lupus_Erythematosus	Immune
Multiple_Sclerosis_Other_Demyelinating_Disease	Immune
Myasthenia_Gravis	Immune
Non-Specific_Immune-Related_Skin_Disorder	Immune
Spinal_Chord_Degeneration	CNS
Psoriasis_Related_Disorders	Immune
Reactive_Arthritis	Immune
Rheumatoid_Arthritis_Related_Conditions	Immune
Sjogrens_Syndrome	Immune
Thyroiditis	Immune
Type_I_Diabetes_Mellitus	Immune
Ulcerative_Colitis	Immune
Unspecified_Hepatitis	Immune
Unspecified_Immune_Deficiency	Immune
Upper_Respiratory_Inflammation	Immune
Vasculitis	Immune
Acute_Bronchitis	Infectious_Disease
Arthropod-Borne_Diseases	Infectious_Disease
Ear_Infection	Infectious_Disease
Encephalitis	Infectious_Disease
Escherichia_Coli_Infection	Infectious_Disease
Eye_Infection	Infectious_Disease
Fungal_Infection	Infectious_Disease
Gastrointestinal_Infection	Infectious_Disease
General_Bacterial_Infection	Infectious_Disease
General_Viral_Infection	Infectious_Disease
HIV	Infectious_Disease
Influenza	Infectious_Disease
Other_Viral_Hepatitis	Infectious_Disease
Parasitic_Infection	Infectious_Disease
Pneumonia	Infectious_Disease
Poliomyelitis	Infectious_Disease
Aneurysm	Cardiovascular
STI	Infectious_Disease
Spirochetal_Infection	Infectious_Disease
Tuberculosis	Infectious_Disease
Viral_Hepatitis_C	Infectious_Disease
Viral_Warts_HPV	Infectious_Disease
Acne	Integumentary
Alopecia	Integumentary
Dyschromia	Integumentary
Atherosclerosis	Cardiovascular
Lichen	Integumentary
Non-Specific_Dental_Disorder	Integumentary
Non-Specific_Soft_Tissue_Disorder	Integumentary
Oral_Soft_Tissue_Disease	Integumentary
Radiation_Sensitivity	Integumentary
Rosacea	Integumentary
Seborrheic_Dermatitis	Integumentary
Cardiac_Dysrhythmia	Cardiovascular
Copper_Metabolism_Disorder	Metabolic
Gout_Related_Crystal_Arthropathies	Metabolic
Cerebrovascular_Disease	Cardiovascular
Malnutrition	Metabolic
Metabolic_Syndrome_X	Metabolic
Deep_Vein_Thrombosis	Cardiovascular
Unspecified_Hyperlipidemia	Metabolic
Abnormal_Spine_Curvature	Musculoskeletal
General_Hypertension	Cardiovascular
General_Spondylosis_Spine_Disorder	Musculoskeletal
Osteoporosis	Musculoskeletal
Benign_Colon_Neoplasm	Neoplastic_Process
Benign_Oropharyngeal_Neoplasm	Neoplastic_Process
Benign_Uterine_Neoplasm	Neoplastic_Process
Bladder_Cancer	Neoplastic_Process
Breast_Cancer	Neoplastic_Process
Colorectal_Cancer	Neoplastic_Process
Esophageal_Cancer	Neoplastic_Process
Hepatobiliary_Cancer	Neoplastic_Process
Non-Specific_Cardiovascular_Disease	Cardiovascular
Kaposis_Sarcoma	Neoplastic_Process
Lung_Cancer	Neoplastic_Process
Lymphoid_Leukemia	Neoplastic_Process
Melanoma	Neoplastic_Process
Non-Specified_Cardiac_Ischemia	Cardiovascular
Non-Hodgkins_Lymphoma	Neoplastic_Process
Oro-Naso-Pharyngeal_Cancer	Neoplastic_Process
Other_Lymphoid_Histiocytic_Cancers	Neoplastic_Process
Pancreatic_Cancer	Neoplastic_Process
Stomach_Cancer	Neoplastic_Process
Thyroid_Cancer	Neoplastic_Process
ADHD	Neuropsychiatric
Adjustment_Disorder	Neuropsychiatric
Alzheimers_Disease	Neuropsychiatric
Autism	Neuropsychiatric
Bipolar_Disorder	Neuropsychiatric
Depression	Neuropsychiatric
Eating_Disorder	Neuropsychiatric
Pulmonary_Heart_Disease	Cardiovascular
Migraine	Neuropsychiatric
PTSD	Neuropsychiatric
Schizophrenia_Related_Psychosis	Neuropsychiatric
Sleep_Disorder	Neuropsychiatric
Substance_Abuse	Neuropsychiatric
Unspecified_Childhood_Psychoses	Neuropsychiatric
Neonatal_Disease	Non-Specific
Corneal_Disorders	Ophthalmological
Glaucoma	Ophthalmological
Macular_Degeneration	Ophthalmological
Gestational_Pregnancy_Related_Disorder	Reproductive
Menopausal_Disorder	Reproductive
Alveolar_Disease	Respiratory
Cystic_Fibrosis	Respiratory
